onset	duration	sample	value	response_type	congruence	response_time	response_out_of_range	largeletter	smallletter
331.7148438	n/a	84919	responseLargeH	correct	n/a	0.45312	no	n/a	n/a
332.7695312	n/a	85189	largeHSmallT	correct	incongruent	0.48828	no	H	T
333.2578125	n/a	85314	responseLargeH	correct	n/a	0.48828	no	n/a	n/a
334.3164062	n/a	85585	largeTSmallH	correct	incongruent	0.52344	no	T	H
334.8398438	n/a	85719	responseLargeT	correct	n/a	0.52344	no	n/a	n/a
335.9179688	n/a	85995	largeTSmallT	correct	congruent	0.4375	no	T	T
336.3554688	n/a	86107	responseLargeT	correct	n/a	0.4375	no	n/a	n/a
337.421875	n/a	86380	largeHSmallT	correct	incongruent	0.48047	no	H	T
337.9023438	n/a	86503	responseLargeH	correct	n/a	0.48047	no	n/a	n/a
338.96875	n/a	86776	largeHSmallH	correct	congruent	0.50781	no	H	H
339.4765625	n/a	86906	responseLargeH	correct	n/a	0.50781	no	n/a	n/a
340.5429688	n/a	87179	largeTSmallT	correct	congruent	0.50391	no	T	T
341.046875	n/a	87308	responseLargeT	correct	n/a	0.50391	no	n/a	n/a
342.1171875	n/a	87582	largeHSmallH	correct	congruent	0.47266	no	H	H
342.5898438	n/a	87703	responseLargeH	correct	n/a	0.47266	no	n/a	n/a
343.6640625	n/a	87978	largeTSmallH	correct	incongruent	0.47266	no	T	H
344.1367188	n/a	88099	responseLargeT	correct	n/a	0.47266	no	n/a	n/a
345.2109375	n/a	88374	largeHSmallH	correct	congruent	0.51172	no	H	H
345.7226562	n/a	88505	responseLargeH	correct	n/a	0.51172	no	n/a	n/a
346.78125	n/a	88776	largeHSmallH	correct	congruent	0.50391	no	H	H
347.2851562	n/a	88905	responseLargeH	correct	n/a	0.50391	no	n/a	n/a
348.3554688	n/a	89179	largeTSmallH	correct	incongruent	0.49609	no	T	H
348.8515625	n/a	89306	responseLargeT	correct	n/a	0.49609	no	n/a	n/a
349.9179688	n/a	89579	largeHSmallH	correct	congruent	0.48828	no	H	H
350.40625	n/a	89704	responseLargeH	correct	n/a	0.48828	no	n/a	n/a
351.4765625	n/a	89978	largeTSmallH	correct	incongruent	0.5	no	T	H
351.9765625	n/a	90106	responseLargeT	correct	n/a	0.5	no	n/a	n/a
353.0351562	n/a	90377	largeHSmallT	correct	incongruent	0.46875	no	H	T
353.5039062	n/a	90497	responseLargeH	correct	n/a	0.46875	no	n/a	n/a
354.5703125	n/a	90770	largeHSmallH	correct	congruent	0.46875	no	H	H
355.0390625	n/a	90890	responseLargeH	correct	n/a	0.46875	no	n/a	n/a
356.1171875	n/a	91166	largeTSmallT	correct	congruent	0.48828	no	T	T
356.6054688	n/a	91291	responseLargeT	correct	n/a	0.48828	no	n/a	n/a
357.6757812	n/a	91565	largeTSmallH	correct	incongruent	0.83984	no	T	H
358.515625	n/a	91780	responseLargeT	correct	n/a	0.83984	no	n/a	n/a
359.5703125	n/a	92050	largeHSmallT	correct	incongruent	0.44922	no	H	T
360.0195312	n/a	92165	responseLargeH	correct	n/a	0.44922	no	n/a	n/a
361.0898438	n/a	92439	largeTSmallH	correct	incongruent	0.63672	no	T	H
361.7265625	n/a	92602	responseLargeT	correct	n/a	0.63672	no	n/a	n/a
362.78125	n/a	92872	largeHSmallT	correct	incongruent	0.46875	no	H	T
363.25	n/a	92992	responseLargeH	correct	n/a	0.46875	no	n/a	n/a
364.3164062	n/a	93265	largeHSmallT	correct	incongruent	0.51953	no	H	T
364.8359375	n/a	93398	responseLargeH	correct	n/a	0.51953	no	n/a	n/a
365.9023438	n/a	93671	largeTSmallT	correct	congruent	0.47266	no	T	T
366.375	n/a	93792	responseLargeT	correct	n/a	0.47266	no	n/a	n/a
367.4375	n/a	94064	largeHSmallT	correct	incongruent	0.53516	no	H	T
367.9726562	n/a	94201	responseLargeH	correct	n/a	0.53516	no	n/a	n/a
369.0507812	n/a	94477	largeTSmallH	correct	incongruent	0.71484	no	T	H
369.765625	n/a	94660	responseLargeT	correct	n/a	0.71484	no	n/a	n/a
370.8359375	n/a	94934	largeHSmallH	correct	congruent	0.5	no	H	H
371.3359375	n/a	95062	responseLargeH	correct	n/a	0.5	no	n/a	n/a
372.3945312	n/a	95333	largeHSmallH	correct	congruent	0.53516	no	H	H
372.9296875	n/a	95470	responseLargeH	correct	n/a	0.53516	no	n/a	n/a
373.9960938	n/a	95743	largeTSmallH	correct	incongruent	0.49609	no	T	H
374.4921875	n/a	95870	responseLargeT	correct	n/a	0.49609	no	n/a	n/a
375.5546875	n/a	96142	largeHSmallH	correct	congruent	0.41016	no	H	H
375.9648438	n/a	96247	responseLargeH	correct	n/a	0.41016	no	n/a	n/a
377.0351562	n/a	96521	largeHSmallT	correct	incongruent	0.46094	no	H	T
377.4960938	n/a	96639	responseLargeH	correct	n/a	0.46094	no	n/a	n/a
378.5546875	n/a	96910	largeHSmallT	correct	incongruent	0.5	no	H	T
379.0546875	n/a	97038	responseLargeH	correct	n/a	0.5	no	n/a	n/a
380.1289062	n/a	97313	largeHSmallT	correct	incongruent	0.52734	no	H	T
380.65625	n/a	97448	responseLargeH	correct	n/a	0.52734	no	n/a	n/a
381.7304688	n/a	97723	largeTSmallT	correct	congruent	0.46094	no	T	T
382.1914062	n/a	97841	responseLargeT	correct	n/a	0.46094	no	n/a	n/a
383.2617188	n/a	98115	largeTSmallT	correct	congruent	0.51562	no	T	T
383.7773438	n/a	98247	responseLargeT	correct	n/a	0.51562	no	n/a	n/a
384.8476562	n/a	98521	largeTSmallT	correct	congruent	0.47656	no	T	T
385.3242188	n/a	98643	responseLargeT	correct	n/a	0.47656	no	n/a	n/a
386.3945312	n/a	98917	largeHSmallH	correct	congruent	0.48047	no	H	H
386.875	n/a	99040	responseLargeH	correct	n/a	0.48047	no	n/a	n/a
387.9414062	n/a	99313	largeTSmallT	correct	congruent	0.49609	no	T	T
388.4375	n/a	99440	responseLargeT	correct	n/a	0.49609	no	n/a	n/a
389.5	n/a	99712	largeTSmallH	error	incongruent	0.39062	no	T	H
389.890625	n/a	99812	responseLargeH	error	n/a	0.39062	no	n/a	n/a
390.96875	n/a	100088	largeHSmallT	correct	incongruent	0.51953	no	H	T
391.4882812	n/a	100221	responseLargeH	correct	n/a	0.51953	no	n/a	n/a
392.5546875	n/a	100494	largeTSmallT	correct	congruent	0.61719	no	T	T
393.171875	n/a	100652	responseLargeT	correct	n/a	0.61719	no	n/a	n/a
394.234375	n/a	100924	largeHSmallH	correct	congruent	0.63672	no	H	H
394.8710938	n/a	101087	responseLargeH	correct	n/a	0.63672	no	n/a	n/a
395.9414062	n/a	101361	largeTSmallH	correct	incongruent	0.76172	no	T	H
396.703125	n/a	101556	responseLargeT	correct	n/a	0.76172	no	n/a	n/a
397.7695312	n/a	101829	largeHSmallH	correct	congruent	0.51953	no	H	H
398.2890625	n/a	101962	responseLargeH	correct	n/a	0.51953	no	n/a	n/a
399.3554688	n/a	102235	largeTSmallH	correct	incongruent	0.58984	no	T	H
399.9453125	n/a	102386	responseLargeT	correct	n/a	0.58984	no	n/a	n/a
402.8476562	n/a	103129	largeTSmallT	correct	congruent	0.60938	no	T	T
403.4570312	n/a	103285	responseSmallT	correct	n/a	0.60938	no	n/a	n/a
404.515625	n/a	103556	largeHSmallH	correct	congruent	0.43359	no	H	H
404.9492188	n/a	103667	responseSmallH	correct	n/a	0.43359	no	n/a	n/a
406.0195312	n/a	103941	largeHSmallT	correct	incongruent	0.60156	no	H	T
406.6210938	n/a	104095	responseSmallT	correct	n/a	0.60156	no	n/a	n/a
407.6875	n/a	104368	largeTSmallH	correct	incongruent	0.46094	no	T	H
408.1484375	n/a	104486	responseSmallH	correct	n/a	0.46094	no	n/a	n/a
409.2070312	n/a	104757	largeHSmallT	correct	incongruent	0.46484	no	H	T
409.671875	n/a	104876	responseSmallT	correct	n/a	0.46484	no	n/a	n/a
410.7421875	n/a	105150	largeTSmallT	correct	congruent	0.54688	no	T	T
