onset	duration	sample	value	stimulus	response_type	response_time
40.3984375	n/a	10342	C	nontarget	n/a	n/a
42.03515625	n/a	10761	C	nontarget	n/a	n/a
43.60546875	n/a	11163	B	nontarget	n/a	n/a
45.17578125	n/a	11565	C	target	hit	675.7812
45.8515625	n/a	11738	rt	n/a	hit	675.7812
46.75390625	n/a	11969	A	nontarget	n/a	n/a
48.32421875	n/a	12371	C	target	hit	605.4688
48.9296875	n/a	12526	rt	n/a	hit	605.4688
49.8828125	n/a	12770	B	nontarget	n/a	n/a
51.44140625	n/a	13169	D	nontarget	n/a	n/a
53.00390625	n/a	13569	D	nontarget	n/a	n/a
54.578125	n/a	13972	A	nontarget	n/a	n/a
56.13671875	n/a	14371	C	nontarget	n/a	n/a
57.7109375	n/a	14774	B	nontarget	n/a	n/a
59.28125	n/a	15176	C	target	hit	601.5625
59.8828125	n/a	15330	rt	n/a	hit	601.5625
60.85546875	n/a	15579	B	target	hit	812.5
61.66796875	n/a	15787	rt	n/a	hit	812.5
62.4296875	n/a	15982	B	nontarget	n/a	n/a
64.00390625	n/a	16385	D	nontarget	n/a	n/a
65.5625	n/a	16784	D	nontarget	n/a	n/a
67.12109375	n/a	17183	B	nontarget	false_alarm	546.875
67.66796875	n/a	17323	rt	n/a	false_alarm	546.875
68.68359375	n/a	17583	B	nontarget	n/a	n/a
70.2421875	n/a	17982	D	nontarget	n/a	n/a
71.80078125	n/a	18381	B	target	hit	710.9375
72.51171875	n/a	18563	rt	n/a	hit	710.9375
73.36328125	n/a	18781	B	nontarget	false_alarm	894.5312
74.2578125	n/a	19010	rt	n/a	false_alarm	894.5312
74.921875	n/a	19180	D	nontarget	n/a	n/a
76.484375	n/a	19580	C	nontarget	n/a	n/a
78.04296875	n/a	19979	A	nontarget	n/a	n/a
79.6015625	n/a	20378	D	nontarget	n/a	n/a
81.1640625	n/a	20778	B	nontarget	n/a	n/a
82.734375	n/a	21180	A	nontarget	n/a	n/a
84.296875	n/a	21580	D	nontarget	n/a	n/a
85.87109375	n/a	21983	A	target	hit	550.7812
86.421875	n/a	22124	rt	n/a	hit	550.7812
87.4296875	n/a	22382	B	nontarget	n/a	n/a
89.00390625	n/a	22785	D	nontarget	n/a	n/a
90.57421875	n/a	23187	D	nontarget	n/a	n/a
92.1484375	n/a	23590	D	target	hit	621.0938
92.76953125	n/a	23749	rt	n/a	hit	621.0938
93.72265625	n/a	23993	B	nontarget	n/a	n/a
95.28125	n/a	24392	A	nontarget	n/a	n/a
96.84375	n/a	24792	A	nontarget	false_alarm	609.375
97.453125	n/a	24948	rt	n/a	false_alarm	609.375
98.40234375	n/a	25191	B	nontarget	n/a	n/a
99.9609375	n/a	25590	C	nontarget	n/a	n/a
101.5234375	n/a	25990	A	nontarget	n/a	n/a
103.0820312	n/a	26389	B	nontarget	n/a	n/a
104.640625	n/a	26788	D	nontarget	n/a	n/a
