onset	duration	sample	value	response_type	response_time
13.19140625	n/a	3377	nontarget	incorrect	n/a
14.68359375	n/a	3759	target	incorrect	0.0625
14.74609375	n/a	3775	rt	incorrect	0.0625
15.75	n/a	4032	nontarget	correct	0.36328
16.11328125	n/a	4125	rt	correct	0.36328
16.81640625	n/a	4305	nontarget	correct	0.43359
17.25	n/a	4416	rt	correct	0.43359
17.8828125	n/a	4578	nontarget	correct	0.3125
18.1953125	n/a	4658	rt	correct	0.3125
18.96484375	n/a	4855	nontarget	correct	0.40234
19.3671875	n/a	4958	rt	correct	0.40234
20.04296875	n/a	5131	nontarget	correct	0.33984
20.3828125	n/a	5218	rt	correct	0.33984
21.109375	n/a	5404	nontarget	correct	0.27344
21.3828125	n/a	5474	rt	correct	0.27344
22.17578125	n/a	5677	nontarget	correct	0.37891
22.5546875	n/a	5774	rt	correct	0.37891
23.2578125	n/a	5954	nontarget	correct	0.30469
23.5625	n/a	6032	rt	correct	0.30469
24.32421875	n/a	6227	nontarget	correct	0.24219
24.56640625	n/a	6289	rt	correct	0.24219
25.390625	n/a	6500	nontarget	correct	0.25391
25.64453125	n/a	6565	rt	correct	0.25391
26.47265625	n/a	6777	nontarget	correct	0.23828
26.7109375	n/a	6838	rt	correct	0.23828
27.53515625	n/a	7049	nontarget	correct	0.25
27.78515625	n/a	7113	rt	correct	0.25
28.6015625	n/a	7322	nontarget	correct	0.23047
28.83203125	n/a	7381	rt	correct	0.23047
29.6875	n/a	7600	nontarget	correct	0.22656
29.9140625	n/a	7658	rt	correct	0.22656
30.75	n/a	7872	nontarget	correct	0.25781
31.0078125	n/a	7938	rt	correct	0.25781
31.81640625	n/a	8145	nontarget	correct	0.24609
32.0625	n/a	8208	rt	correct	0.24609
32.89453125	n/a	8421	nontarget	correct	0.27344
33.16796875	n/a	8491	rt	correct	0.27344
33.96484375	n/a	8695	nontarget	correct	0.23828
34.203125	n/a	8756	rt	correct	0.23828
35.03125	n/a	8968	target	incorrect	0.30859
35.33984375	n/a	9047	rt	incorrect	0.30859
36.11328125	n/a	9245	nontarget	correct	0.22656
36.33984375	n/a	9303	rt	correct	0.22656
37.17578125	n/a	9517	nontarget	correct	0.25391
37.4296875	n/a	9582	rt	correct	0.25391
38.2421875	n/a	9790	target	incorrect	0.28516
38.52734375	n/a	9863	rt	incorrect	0.28516
39.32421875	n/a	10067	nontarget	correct	0.22656
39.55078125	n/a	10125	rt	correct	0.22656
40.390625	n/a	10340	target	incorrect	0.26562
40.65625	n/a	10408	rt	incorrect	0.26562
41.45703125	n/a	10613	nontarget	correct	0.24219
41.69921875	n/a	10675	rt	correct	0.24219
42.5390625	n/a	10890	nontarget	correct	0.32031
42.859375	n/a	10972	rt	correct	0.32031
43.6171875	n/a	11166	nontarget	correct	0.25391
43.87109375	n/a	11231	rt	correct	0.25391
44.68359375	n/a	11439	target	correct	n/a
46.1640625	n/a	11818	nontarget	correct	0.25
46.4140625	n/a	11882	rt	correct	0.25
47.23046875	n/a	12091	target	incorrect	0.26562
47.49609375	n/a	12159	rt	incorrect	0.26562
48.3125	n/a	12368	nontarget	correct	0.19922
48.51171875	n/a	12419	rt	correct	0.19922
49.375	n/a	12640	nontarget	correct	0.43359
49.80859375	n/a	12751	rt	correct	0.43359
50.44140625	n/a	12913	nontarget	correct	0.37109
50.8125	n/a	13008	rt	correct	0.37109
51.52734375	n/a	13191	nontarget	correct	0.35547
51.8828125	n/a	13282	rt	correct	0.35547
52.60546875	n/a	13467	nontarget	correct	0.26172
52.8671875	n/a	13534	rt	correct	0.26172
53.66796875	n/a	13739	target	correct	n/a
55.1640625	n/a	14122	nontarget	correct	0.27344
55.4375	n/a	14192	rt	correct	0.27344
56.23046875	n/a	14395	nontarget	correct	0.25781
56.48828125	n/a	14461	rt	correct	0.25781
57.30859375	n/a	14671	nontarget	correct	0.22656
57.53515625	n/a	14729	rt	correct	0.22656
58.390625	n/a	14948	nontarget	correct	0.34766
58.73828125	n/a	15037	rt	correct	0.34766
59.45703125	n/a	15221	target	incorrect	0.24219
59.69921875	n/a	15283	rt	incorrect	0.24219
60.5234375	n/a	15494	nontarget	correct	0.21484
60.73828125	n/a	15549	rt	correct	0.21484
61.60546875	n/a	15771	nontarget	correct	0.25
61.85546875	n/a	15835	rt	correct	0.25
62.66796875	n/a	16043	nontarget	correct	0.25391
62.921875	n/a	16108	rt	correct	0.25391
63.734375	n/a	16316	target	incorrect	0.28516
64.01953125	n/a	16389	rt	incorrect	0.28516
64.81640625	n/a	16593	nontarget	correct	0.21875
65.03515625	n/a	16649	rt	correct	0.21875
65.8828125	n/a	16866	nontarget	correct	0.26953
66.15234375	n/a	16935	rt	correct	0.26953
66.94921875	n/a	17139	nontarget	correct	0.28516
67.234375	n/a	17212	rt	correct	0.28516
68.01953125	n/a	17413	nontarget	correct	0.32031
68.33984375	n/a	17495	rt	correct	0.32031
69.08203125	n/a	17685	nontarget	correct	0.3125
69.39453125	n/a	17765	rt	correct	0.3125
70.1640625	n/a	17962	target	incorrect	0.28125
70.4453125	n/a	18034	rt	incorrect	0.28125
71.2421875	n/a	18238	nontarget	correct	0.21484
71.45703125	n/a	18293	rt	correct	0.21484
72.30859375	n/a	18511	nontarget	correct	0.27734
72.5859375	n/a	18582	rt	correct	0.27734
73.375	n/a	18784	nontarget	correct	0.27344
73.6484375	n/a	18854	rt	correct	0.27344
74.45703125	n/a	19061	nontarget	correct	0.36328
74.8203125	n/a	19154	rt	correct	0.36328
75.53515625	n/a	19337	target	correct	n/a
77.015625	n/a	19716	nontarget	correct	0.48047
77.49609375	n/a	19839	rt	correct	0.48047
78.49609375	n/a	20095	nontarget	correct	0.26953
78.765625	n/a	20164	rt	correct	0.26953
79.5625	n/a	20368	nontarget	correct	0.25391
79.81640625	n/a	20433	rt	correct	0.25391
80.62890625	n/a	20641	nontarget	correct	0.25781
80.88671875	n/a	20707	rt	correct	0.25781
81.70703125	n/a	20917	nontarget	correct	0.29297
82	n/a	20992	rt	correct	0.29297
82.77734375	n/a	21191	nontarget	correct	0.27344
83.05078125	n/a	21261	rt	correct	0.27344
83.84375	n/a	21464	nontarget	correct	0.29688
84.140625	n/a	21540	rt	correct	0.29688
84.921875	n/a	21740	nontarget	correct	0.29688
85.21875	n/a	21816	rt	correct	0.29688
85.98828125	n/a	22013	nontarget	correct	0.33594
86.32421875	n/a	22099	rt	correct	0.33594
87.0546875	n/a	22286	nontarget	correct	0.27344
87.328125	n/a	22356	rt	correct	0.27344
88.13671875	n/a	22563	nontarget	correct	0.22266
88.359375	n/a	22620	rt	correct	0.22266
89.21484375	n/a	22839	target	incorrect	0.24219
89.45703125	n/a	22901	rt	incorrect	0.24219
90.28125	n/a	23112	nontarget	correct	0.082031
90.36328125	n/a	23133	rt	correct	0.082031
91.3515625	n/a	23386	nontarget	correct	0.23047
91.58203125	n/a	23445	rt	correct	0.23047
92.41796875	n/a	23659	nontarget	correct	0.25391
92.671875	n/a	23724	rt	correct	0.25391
93.48046875	n/a	23931	nontarget	correct	0.22656
93.70703125	n/a	23989	rt	correct	0.22656
94.5625	n/a	24208	nontarget	correct	0.27734
94.83984375	n/a	24279	rt	correct	0.27734
95.6328125	n/a	24482	nontarget	correct	0.26172
95.89453125	n/a	24549	rt	correct	0.26172
96.6953125	n/a	24754	nontarget	correct	0.28516
96.98046875	n/a	24827	rt	correct	0.28516
97.7734375	n/a	25030	nontarget	correct	0.34375
98.1171875	n/a	25118	rt	correct	0.34375
98.85546875	n/a	25307	nontarget	correct	0.29297
99.1484375	n/a	25382	rt	correct	0.29297
99.921875	n/a	25580	target	incorrect	0.25781
100.1796875	n/a	25646	rt	incorrect	0.25781
100.9882812	n/a	25853	nontarget	correct	0.16406
101.1523438	n/a	25895	rt	correct	0.16406
