onset	duration	sample	value	response_type	response_time
18.97119141	n/a	4856.625	nontarget	correct	1.2266
20.19775391	n/a	5170.625	rt	correct	1.2266
20.46386719	n/a	5238.75	nontarget	correct	0.74756
21.21142578	n/a	5430.125	rt	correct	0.74756
21.95703125	n/a	5621	nontarget	correct	0.37256
22.32958984	n/a	5716.375	rt	correct	0.37256
23.02392578	n/a	5894.125	target	correct	n/a
24.50390625	n/a	6273	nontarget	correct	0.39795
24.90185547	n/a	6374.875	rt	correct	0.39795
25.58349609	n/a	6549.375	nontarget	correct	0.41162
25.99511719	n/a	6654.75	rt	correct	0.41162
26.66357422	n/a	6825.875	nontarget	correct	0.34961
27.01318359	n/a	6915.375	rt	correct	0.34961
27.72998047	n/a	7098.875	nontarget	correct	0.35156
28.08154297	n/a	7188.875	rt	correct	0.35156
28.81005859	n/a	7375.375	nontarget	correct	0.40137
29.21142578	n/a	7478.125	rt	correct	0.40137
29.89013672	n/a	7651.875	nontarget	correct	0.32373
30.21386719	n/a	7734.75	rt	correct	0.32373
30.95703125	n/a	7925	nontarget	correct	0.3291
31.28613281	n/a	8009.25	rt	correct	0.3291
32.0234375	n/a	8198	nontarget	correct	0.32764
32.35107422	n/a	8281.875	rt	correct	0.32764
33.10351562	n/a	8474.5	nontarget	correct	0.46631
33.56982422	n/a	8593.875	rt	correct	0.46631
34.58349609	n/a	8853.375	nontarget	correct	0.44092
35.02441406	n/a	8966.25	rt	correct	0.44092
35.66357422	n/a	9129.875	nontarget	correct	0.40039
36.06396484	n/a	9232.375	rt	correct	0.40039
36.72998047	n/a	9402.875	nontarget	correct	0.34277
37.07275391	n/a	9490.625	rt	correct	0.34277
37.796875	n/a	9676	nontarget	correct	0.30762
38.10449219	n/a	9754.75	rt	correct	0.30762
38.87646484	n/a	9952.375	nontarget	correct	0.32812
39.20458984	n/a	10036.375	rt	correct	0.32812
39.94335938	n/a	10225.5	nontarget	correct	0.32178
40.26513672	n/a	10307.875	rt	correct	0.32178
41.00976562	n/a	10498.5	nontarget	correct	0.35498
41.36474609	n/a	10589.375	rt	correct	0.35498
42.08984375	n/a	10775	nontarget	correct	0.33154
42.42138672	n/a	10859.875	rt	correct	0.33154
43.15820312	n/a	11048.5	nontarget	correct	0.34277
43.50097656	n/a	11136.25	rt	correct	0.34277
44.22314453	n/a	11321.125	nontarget	correct	0.35742
44.58056641	n/a	11412.625	rt	correct	0.35742
45.30322266	n/a	11597.625	nontarget	correct	0.36279
45.66601562	n/a	11690.5	rt	correct	0.36279
46.36962891	n/a	11870.625	nontarget	correct	0.35986
46.72949219	n/a	11962.75	rt	correct	0.35986
47.43652344	n/a	12143.75	target	correct	n/a
48.91650391	n/a	12522.625	nontarget	correct	0.36475
49.28125	n/a	12616	rt	correct	0.36475
49.99658203	n/a	12799.125	nontarget	correct	0.36621
50.36279297	n/a	12892.875	rt	correct	0.36621
51.06445312	n/a	13072.5	nontarget	correct	0.38232
51.44677734	n/a	13170.375	rt	correct	0.38232
52.12988281	n/a	13345.25	nontarget	correct	0.41406
52.54394531	n/a	13451.25	rt	correct	0.41406
53.20947266	n/a	13621.625	nontarget	correct	0.46973
53.67919922	n/a	13741.875	rt	correct	0.46973
54.68945312	n/a	14000.5	nontarget	correct	0.37695
55.06640625	n/a	14097	rt	correct	0.37695
55.76953125	n/a	14277	nontarget	correct	0.38623
56.15576172	n/a	14375.875	rt	correct	0.38623
56.83691406	n/a	14550.25	nontarget	correct	0.36426
57.20117188	n/a	14643.5	rt	correct	0.36426
57.90283203	n/a	14823.125	nontarget	correct	0.43457
58.33740234	n/a	14934.375	rt	correct	0.43457
58.98291016	n/a	15099.625	nontarget	correct	0.48633
59.46923828	n/a	15224.125	rt	correct	0.48633
60.47607422	n/a	15481.875	nontarget	correct	0.41797
60.89404297	n/a	15588.875	rt	correct	0.41797
61.55615234	n/a	15758.375	nontarget	correct	0.46631
62.02246094	n/a	15877.75	rt	correct	0.46631
63.03613281	n/a	16137.25	nontarget	correct	0.40332
63.43945312	n/a	16240.5	rt	correct	0.40332
64.11621094	n/a	16413.75	nontarget	correct	0.42529
64.54150391	n/a	16522.625	rt	correct	0.42529
65.18359375	n/a	16687	nontarget	correct	0.40039
65.58398438	n/a	16789.5	rt	correct	0.40039
66.24951172	n/a	16959.875	nontarget	correct	0.36768
66.6171875	n/a	17054	rt	correct	0.36768
67.32958984	n/a	17236.375	nontarget	correct	0.37842
67.70800781	n/a	17333.25	rt	correct	0.37842
68.39648438	n/a	17509.5	nontarget	correct	0.38721
68.78369141	n/a	17608.625	rt	correct	0.38721
69.46240234	n/a	17782.375	nontarget	correct	0.38916
69.8515625	n/a	17882	rt	correct	0.38916
70.54248047	n/a	18058.875	nontarget	correct	0.41309
70.95556641	n/a	18164.625	rt	correct	0.41309
71.62255859	n/a	18335.375	target	correct	n/a
73.10253906	n/a	18714.25	nontarget	correct	0.41357
73.51611328	n/a	18820.125	rt	correct	0.41357
74.17138672	n/a	18987.875	nontarget	correct	0.36572
74.53710938	n/a	19081.5	rt	correct	0.36572
75.23583984	n/a	19260.375	nontarget	correct	0.39697
75.6328125	n/a	19362	rt	correct	0.39697
76.31591797	n/a	19536.875	nontarget	correct	0.4458
76.76171875	n/a	19651	rt	correct	0.4458
77.38330078	n/a	19810.125	nontarget	correct	0.37939
77.76269531	n/a	19907.25	rt	correct	0.37939
78.44921875	n/a	20083	nontarget	correct	0.36523
78.81445312	n/a	20176.5	rt	correct	0.36523
79.52880859	n/a	20359.375	nontarget	correct	0.39746
79.92626953	n/a	20461.125	rt	correct	0.39746
80.59619141	n/a	20632.625	nontarget	correct	0.43115
81.02734375	n/a	20743	rt	correct	0.43115
81.66259766	n/a	20905.625	nontarget	correct	0.39893
82.06152344	n/a	21007.75	rt	correct	0.39893
82.7421875	n/a	21182	nontarget	correct	0.38818
83.13037109	n/a	21281.375	rt	correct	0.38818
83.81005859	n/a	21455.375	nontarget	correct	0.34619
84.15625	n/a	21544	rt	correct	0.34619
84.87548828	n/a	21728.125	nontarget	correct	0.35693
85.23242188	n/a	21819.5	rt	correct	0.35693
85.95556641	n/a	22004.625	nontarget	correct	0.37646
86.33203125	n/a	22101	rt	correct	0.37646
87.03564453	n/a	22281.125	nontarget	correct	0.41748
87.453125	n/a	22388	rt	correct	0.41748
88.10205078	n/a	22554.125	nontarget	correct	0.45215
88.55419922	n/a	22669.875	rt	correct	0.45215
89.18212891	n/a	22830.625	nontarget	correct	0.4917
89.67382812	n/a	22956.5	rt	correct	0.4917
90.67529297	n/a	23212.875	nontarget	correct	0.48535
91.16064453	n/a	23337.125	rt	correct	0.48535
92.15527344	n/a	23591.75	nontarget	correct	0.45068
