onset	duration	sample	value	stimulus	response_type	response_time
11.4921875	n/a	2942	C	nontarget	n/a	n/a
13.1328125	n/a	3362	D	nontarget	n/a	n/a
14.7109375	n/a	3766	A	nontarget	n/a	n/a
16.2734375	n/a	4166	C	nontarget	n/a	n/a
17.83203125	n/a	4565	A	target	hit	832.0312
18.6640625	n/a	4778	rt	n/a	hit	832.0312
19.3984375	n/a	4966	C	target	miss	n/a
20.96484375	n/a	5367	B	nontarget	miss	n/a
22.52734375	n/a	5767	C	target	hit	488.2812
23.015625	n/a	5892	rt	n/a	hit	488.2812
24.0859375	n/a	6166	C	nontarget	n/a	n/a
25.66015625	n/a	6569	B	nontarget	false_alarm	660.1562
26.3203125	n/a	6738	rt	n/a	false_alarm	660.1562
27.234375	n/a	6972	D	nontarget	n/a	n/a
28.8046875	n/a	7374	A	nontarget	n/a	n/a
30.37890625	n/a	7777	B	nontarget	n/a	n/a
31.953125	n/a	8180	A	target	hit	488.2812
32.44140625	n/a	8305	rt	n/a	hit	488.2812
33.52734375	n/a	8583	C	nontarget	n/a	n/a
35.0859375	n/a	8982	B	nontarget	n/a	n/a
36.64453125	n/a	9381	D	nontarget	n/a	n/a
38.20703125	n/a	9781	A	nontarget	n/a	n/a
39.765625	n/a	10180	A	nontarget	n/a	n/a
41.33203125	n/a	10581	A	target	hit	496.0938
41.828125	n/a	10708	rt	n/a	hit	496.0938
42.8984375	n/a	10982	D	nontarget	n/a	n/a
44.45703125	n/a	11381	C	nontarget	n/a	n/a
46.01953125	n/a	11781	B	nontarget	n/a	n/a
47.578125	n/a	12180	C	target	hit	484.375
48.0625	n/a	12304	rt	n/a	hit	484.375
49.140625	n/a	12580	B	target	hit	960.9375
50.1015625	n/a	12826	rt	n/a	hit	960.9375
50.69921875	n/a	12979	C	target	miss	n/a
52.2578125	n/a	13378	A	nontarget	miss	n/a
53.83203125	n/a	13781	D	nontarget	n/a	n/a
55.40625	n/a	14184	D	nontarget	n/a	n/a
56.98046875	n/a	14587	C	nontarget	n/a	n/a
58.55078125	n/a	14989	D	target	hit	347.6562
58.8984375	n/a	15078	rt	n/a	hit	347.6562
60.125	n/a	15392	A	nontarget	n/a	n/a
61.69921875	n/a	15795	C	nontarget	n/a	n/a
63.2578125	n/a	16194	D	nontarget	n/a	n/a
64.8203125	n/a	16594	C	target	hit	1023.4375
65.84375	n/a	16856	rt	n/a	hit	1023.4375
66.37890625	n/a	16993	A	nontarget	n/a	n/a
67.9375	n/a	17392	A	nontarget	n/a	n/a
69.5	n/a	17792	B	nontarget	n/a	n/a
71.05859375	n/a	18191	A	target	hit	441.4062
71.5	n/a	18304	rt	n/a	hit	441.4062
72.6171875	n/a	18590	B	target	hit	679.6875
73.296875	n/a	18764	rt	n/a	hit	679.6875
74.1796875	n/a	18990	C	nontarget	n/a	n/a
75.75	n/a	19392	D	nontarget	n/a	n/a
77.32421875	n/a	19795	A	nontarget	n/a	n/a
78.8984375	n/a	20198	B	nontarget	n/a	n/a
80.47265625	n/a	20601	C	nontarget	false_alarm	789.0625
81.26171875	n/a	20803	rt	n/a	false_alarm	789.0625
82.046875	n/a	21004	B	target	hit	824.2188
82.87109375	n/a	21215	rt	n/a	hit	824.2188
83.6171875	n/a	21406	B	nontarget	n/a	n/a
85.1796875	n/a	21806	D	nontarget	n/a	n/a
86.73828125	n/a	22205	B	target	hit	355.4688
87.09375	n/a	22296	rt	n/a	hit	355.4688
88.296875	n/a	22604	A	nontarget	n/a	n/a
89.859375	n/a	23004	A	nontarget	n/a	n/a
91.41796875	n/a	23403	D	nontarget	n/a	n/a
92.9765625	n/a	23802	C	nontarget	n/a	n/a
94.5390625	n/a	24202	D	target	hit	1265.625
95.8046875	n/a	24526	rt	n/a	hit	1265.625
96.09765625	n/a	24601	B	nontarget	n/a	n/a
97.65625	n/a	25000	D	target	miss	n/a
99.21875	n/a	25400	C	nontarget	false_alarm	703.125
99.921875	n/a	25580	rt	n/a	false_alarm	703.125
100.7773438	n/a	25799	C	nontarget	n/a	n/a
102.3359375	n/a	26198	B	nontarget	false_alarm	863.2812
103.1992188	n/a	26419	rt	n/a	false_alarm	863.2812
103.8984375	n/a	26598	A	nontarget	n/a	n/a
105.4570312	n/a	26997	C	nontarget	n/a	n/a
107.0195312	n/a	27397	D	nontarget	n/a	n/a
108.578125	n/a	27796	C	target	hit	1132.8125
109.7109375	n/a	28086	rt	n/a	hit	1132.8125
110.1367188	n/a	28195	D	target	hit	1027.3438
111.1640625	n/a	28458	rt	n/a	hit	1027.3438
111.6992188	n/a	28595	B	nontarget	n/a	n/a
113.2578125	n/a	28994	C	nontarget	n/a	n/a
114.8164062	n/a	29393	A	nontarget	n/a	n/a
116.3789062	n/a	29793	D	nontarget	n/a	n/a
117.9375	n/a	30192	D	nontarget	n/a	n/a
119.4960938	n/a	30591	D	target	hit	828.125
120.3242188	n/a	30803	rt	n/a	hit	828.125
121.0585938	n/a	30991	D	target	hit	886.7188
121.9453125	n/a	31218	rt	n/a	hit	886.7188
122.6171875	n/a	31390	B	nontarget	n/a	n/a
124.1757812	n/a	31789	A	nontarget	n/a	n/a
125.7382812	n/a	32189	A	nontarget	n/a	n/a
127.296875	n/a	32588	B	nontarget	n/a	n/a
128.8554688	n/a	32987	C	nontarget	n/a	n/a
130.4179688	n/a	33387	B	target	miss	n/a
131.9765625	n/a	33786	D	nontarget	miss	n/a
133.5390625	n/a	34186	A	nontarget	n/a	n/a
135.0976562	n/a	34585	A	nontarget	false_alarm	847.6562
135.9453125	n/a	34802	rt	n/a	false_alarm	847.6562
136.65625	n/a	34984	D	nontarget	n/a	n/a
138.21875	n/a	35384	A	target	hit	503.9062
138.7226562	n/a	35513	rt	n/a	hit	503.9062
139.7773438	n/a	35783	B	nontarget	n/a	n/a
