onset	duration	sample	value	stimulus	response_type	response_time
23.703125	n/a	6068	B	nontarget	n/a	n/a
25.421875	n/a	6508	C	nontarget	n/a	n/a
27.01171875	n/a	6915	D	nontarget	n/a	n/a
28.59375	n/a	7320	D	target	hit	519.5312
29.11328125	n/a	7453	rt	n/a	hit	519.5312
30.16796875	n/a	7723	A	nontarget	n/a	n/a
31.73828125	n/a	8125	D	nontarget	n/a	n/a
33.32421875	n/a	8531	B	nontarget	n/a	n/a
34.8984375	n/a	8934	A	nontarget	n/a	n/a
36.47265625	n/a	9337	C	nontarget	n/a	n/a
38.04296875	n/a	9739	D	nontarget	n/a	n/a
39.6171875	n/a	10142	A	nontarget	n/a	n/a
41.19140625	n/a	10545	C	nontarget	n/a	n/a
42.765625	n/a	10948	B	nontarget	n/a	n/a
44.32421875	n/a	11347	C	nontarget	false_alarm	1031.25
45.35546875	n/a	11611	rt	n/a	false_alarm	1031.25
45.88671875	n/a	11747	D	nontarget	n/a	n/a
47.47265625	n/a	12153	A	nontarget	n/a	n/a
49.04296875	n/a	12555	D	nontarget	n/a	n/a
50.6171875	n/a	12958	D	target	hit	925.7812
51.54296875	n/a	13195	rt	n/a	hit	925.7812
52.19140625	n/a	13361	B	nontarget	n/a	n/a
53.77734375	n/a	13767	C	nontarget	n/a	n/a
55.33984375	n/a	14167	D	nontarget	n/a	n/a
56.92578125	n/a	14573	C	nontarget	n/a	n/a
58.50390625	n/a	14977	A	nontarget	n/a	n/a
60.0703125	n/a	15378	D	nontarget	n/a	n/a
61.64453125	n/a	15781	B	nontarget	n/a	n/a
63.23046875	n/a	16187	C	nontarget	n/a	n/a
64.8046875	n/a	16590	B	nontarget	n/a	n/a
66.37890625	n/a	16993	D	nontarget	n/a	n/a
67.94921875	n/a	17395	D	target	hit	683.5938
68.6328125	n/a	17570	rt	n/a	hit	683.5938
69.52734375	n/a	17799	D	target	hit	703.125
70.23046875	n/a	17979	rt	n/a	hit	703.125
71.09765625	n/a	18201	C	nontarget	n/a	n/a
72.68359375	n/a	18607	B	nontarget	n/a	n/a
74.2578125	n/a	19010	D	nontarget	n/a	n/a
75.83203125	n/a	19413	C	nontarget	n/a	n/a
77.40625	n/a	19816	C	target	hit	503.9062
77.91015625	n/a	19945	rt	n/a	hit	503.9062
78.98046875	n/a	20219	B	nontarget	n/a	n/a
80.55078125	n/a	20621	C	nontarget	n/a	n/a
82.125	n/a	21024	B	nontarget	n/a	n/a
83.68359375	n/a	21423	D	nontarget	n/a	n/a
85.24609375	n/a	21823	A	nontarget	n/a	n/a
86.8203125	n/a	22226	D	nontarget	n/a	n/a
88.390625	n/a	22628	D	target	hit	1324.2188
89.71484375	n/a	22967	rt	n/a	hit	1324.2188
89.96484375	n/a	23031	C	nontarget	n/a	n/a
91.5390625	n/a	23434	D	nontarget	n/a	n/a
93.109375	n/a	23836	B	nontarget	n/a	n/a
94.68359375	n/a	24239	A	nontarget	n/a	n/a
96.24609375	n/a	24639	B	nontarget	n/a	n/a
97.8203125	n/a	25042	D	nontarget	n/a	n/a
99.40234375	n/a	25447	D	target	hit	617.1875
100.0195312	n/a	25605	rt	n/a	hit	617.1875
100.9765625	n/a	25850	B	nontarget	n/a	n/a
102.5507812	n/a	26253	D	nontarget	n/a	n/a
104.125	n/a	26656	C	nontarget	n/a	n/a
105.7109375	n/a	27062	B	nontarget	n/a	n/a
107.28125	n/a	27464	D	nontarget	n/a	n/a
108.859375	n/a	27868	C	nontarget	n/a	n/a
110.4296875	n/a	28270	D	nontarget	n/a	n/a
112.0039062	n/a	28673	C	nontarget	n/a	n/a
113.578125	n/a	29076	C	target	hit	636.7188
114.2148438	n/a	29239	rt	n/a	hit	636.7188
115.1484375	n/a	29478	C	target	hit	925.7812
116.0742188	n/a	29715	rt	n/a	hit	925.7812
116.7109375	n/a	29878	D	nontarget	n/a	n/a
118.296875	n/a	30284	A	nontarget	n/a	n/a
119.8671875	n/a	30686	B	nontarget	n/a	n/a
121.4414062	n/a	31089	A	nontarget	n/a	n/a
123.0195312	n/a	31493	A	target	hit	671.875
123.6914062	n/a	31665	rt	n/a	hit	671.875
124.5898438	n/a	31895	C	nontarget	n/a	n/a
126.1640625	n/a	32298	A	nontarget	n/a	n/a
127.75	n/a	32704	C	nontarget	n/a	n/a
129.3242188	n/a	33107	D	nontarget	n/a	n/a
130.8984375	n/a	33510	D	target	miss	n/a
132.46875	n/a	33912	A	nontarget	miss	n/a
134.0546875	n/a	34318	B	nontarget	n/a	n/a
135.6289062	n/a	34721	C	nontarget	n/a	n/a
137.203125	n/a	35124	A	nontarget	n/a	n/a
138.7773438	n/a	35527	A	target	hit	667.9688
139.4453125	n/a	35698	rt	n/a	hit	667.9688
140.3476562	n/a	35929	B	nontarget	n/a	n/a
141.9257812	n/a	36333	B	target	hit	546.875
142.4726562	n/a	36473	rt	n/a	hit	546.875
143.4960938	n/a	36735	C	nontarget	n/a	n/a
145.0703125	n/a	37138	D	nontarget	n/a	n/a
146.640625	n/a	37540	C	nontarget	n/a	n/a
148.21875	n/a	37944	B	nontarget	n/a	n/a
149.7890625	n/a	38346	D	nontarget	n/a	n/a
151.3632812	n/a	38749	A	nontarget	n/a	n/a
152.9375	n/a	39152	C	nontarget	n/a	n/a
154.5234375	n/a	39558	A	nontarget	n/a	n/a
