onset	duration	sample	value	stimulus	response_type	response_time
178.1523438	n/a	45607	rt	n/a	hit	585.9375
179.1484375	n/a	45862	C	target	hit	574.2188
179.7226562	n/a	46009	rt	n/a	hit	574.2188
180.7226562	n/a	46265	A	nontarget	n/a	n/a
182.296875	n/a	46668	C	target	hit	949.2188
183.2460938	n/a	46911	rt	n/a	hit	949.2188
183.8671875	n/a	47070	A	target	hit	625
184.4921875	n/a	47230	rt	n/a	hit	625
185.4453125	n/a	47474	A	nontarget	n/a	n/a
187.0273438	n/a	47879	D	nontarget	n/a	n/a
188.6015625	n/a	48282	A	target	hit	574.2188
189.1757812	n/a	48429	rt	n/a	hit	574.2188
190.1757812	n/a	48685	B	nontarget	n/a	n/a
191.75	n/a	49088	C	nontarget	n/a	n/a
193.3242188	n/a	49491	D	nontarget	n/a	n/a
194.8945312	n/a	49893	D	nontarget	n/a	n/a
196.46875	n/a	50296	B	nontarget	n/a	n/a
198.0429688	n/a	50699	D	target	hit	609.375
198.6523438	n/a	50855	rt	n/a	hit	609.375
199.6171875	n/a	51102	C	nontarget	false_alarm	730.4688
200.3476562	n/a	51289	rt	n/a	false_alarm	730.4688
201.1875	n/a	51504	C	nontarget	n/a	n/a
202.7617188	n/a	51907	A	nontarget	n/a	n/a
204.3359375	n/a	52310	D	nontarget	n/a	n/a
205.9101562	n/a	52713	B	nontarget	n/a	n/a
207.4804688	n/a	53115	B	nontarget	n/a	n/a
209.0429688	n/a	53515	C	nontarget	n/a	n/a
210.6054688	n/a	53915	A	nontarget	n/a	n/a
212.1601562	n/a	54313	C	target	hit	550.7812
212.7109375	n/a	54454	rt	n/a	hit	550.7812
213.7226562	n/a	54713	A	target	hit	457.0312
214.1796875	n/a	54830	rt	n/a	hit	457.0312
215.2851562	n/a	55113	B	nontarget	n/a	n/a
216.84375	n/a	55512	D	nontarget	n/a	n/a
218.4023438	n/a	55911	D	nontarget	n/a	n/a
219.9609375	n/a	56310	D	target	hit	621.0938
220.5820312	n/a	56469	rt	n/a	hit	621.0938
221.5351562	n/a	56713	A	nontarget	n/a	n/a
223.109375	n/a	57116	C	nontarget	n/a	n/a
224.6796875	n/a	57518	D	nontarget	n/a	n/a
226.2578125	n/a	57922	A	nontarget	n/a	n/a
227.828125	n/a	58324	C	nontarget	n/a	n/a
229.4140625	n/a	58730	B	nontarget	n/a	n/a
230.9882812	n/a	59133	D	nontarget	n/a	n/a
232.5625	n/a	59536	D	nontarget	n/a	n/a
234.1367188	n/a	59939	D	target	hit	503.9062
234.640625	n/a	60068	rt	n/a	hit	503.9062
235.7070312	n/a	60341	C	nontarget	n/a	n/a
237.28125	n/a	60744	B	nontarget	n/a	n/a
238.8671875	n/a	61150	C	target	hit	550.7812
239.4179688	n/a	61291	rt	n/a	hit	550.7812
240.4414062	n/a	61553	B	target	hit	582.0312
241.0234375	n/a	61702	rt	n/a	hit	582.0312
242.015625	n/a	61956	A	nontarget	n/a	n/a
243.5898438	n/a	62359	A	nontarget	n/a	n/a
245.1601562	n/a	62761	A	target	hit	476.5625
245.6367188	n/a	62883	rt	n/a	hit	476.5625
246.734375	n/a	63164	D	nontarget	n/a	n/a
248.3203125	n/a	63570	C	nontarget	n/a	n/a
249.8945312	n/a	63973	D	target	hit	589.8438
250.484375	n/a	64124	rt	n/a	hit	589.8438
251.46875	n/a	64376	A	nontarget	n/a	n/a
253.0429688	n/a	64779	C	nontarget	n/a	n/a
254.6132812	n/a	65181	D	nontarget	n/a	n/a
256.1875	n/a	65584	A	nontarget	false_alarm	621.0938
256.8085938	n/a	65743	rt	n/a	false_alarm	621.0938
257.7734375	n/a	65990	A	nontarget	n/a	n/a
259.3476562	n/a	66393	D	nontarget	false_alarm	589.8438
259.9375	n/a	66544	rt	n/a	false_alarm	589.8438
260.921875	n/a	66796	A	target	miss	n/a
262.4921875	n/a	67198	A	nontarget	miss	n/a
264.0664062	n/a	67601	D	nontarget	false_alarm	382.8125
264.4492188	n/a	67699	rt	n/a	false_alarm	382.8125
265.640625	n/a	68004	A	target	hit	347.6562
265.9882812	n/a	68093	rt	n/a	hit	347.6562
267.203125	n/a	68404	B	nontarget	n/a	n/a
268.7617188	n/a	68803	B	nontarget	n/a	n/a
270.3476562	n/a	69209	B	target	hit	433.5938
270.78125	n/a	69320	rt	n/a	hit	433.5938
271.921875	n/a	69612	B	target	hit	457.0312
272.3789062	n/a	69729	rt	n/a	hit	457.0312
273.4921875	n/a	70014	A	nontarget	n/a	n/a
275.0664062	n/a	70417	B	target	miss	n/a
276.640625	n/a	70820	B	nontarget	miss	n/a
278.2148438	n/a	71223	C	nontarget	n/a	n/a
279.8007812	n/a	71629	C	nontarget	n/a	n/a
281.375	n/a	72032	C	target	hit	644.5312
282.0195312	n/a	72197	rt	n/a	hit	644.5312
282.9453125	n/a	72434	B	nontarget	n/a	n/a
284.5234375	n/a	72838	A	nontarget	n/a	n/a
286.09375	n/a	73240	B	target	miss	n/a
287.6523438	n/a	73639	B	nontarget	false_alarm	683.5938
288.3359375	n/a	73814	rt	n/a	false_alarm	683.5938
289.2382812	n/a	74045	C	nontarget	n/a	n/a
290.8164062	n/a	74449	B	target	miss	n/a
292.3867188	n/a	74851	D	nontarget	miss	n/a
293.9609375	n/a	75254	B	target	hit	730.4688
294.6914062	n/a	75441	rt	n/a	hit	730.4688
295.53125	n/a	75656	C	nontarget	n/a	n/a
297.1054688	n/a	76059	A	nontarget	n/a	n/a
298.6679688	n/a	76459	C	target	miss	n/a
300.2265625	n/a	76858	B	nontarget	miss	n/a
301.7851562	n/a	77257	D	nontarget	n/a	n/a
303.3476562	n/a	77657	C	nontarget	false_alarm	789.0625
304.1367188	n/a	77859	rt	n/a	false_alarm	789.0625
304.90625	n/a	78056	A	nontarget	n/a	n/a
306.4921875	n/a	78462	B	nontarget	n/a	n/a
308.0664062	n/a	78865	B	nontarget	n/a	n/a
309.640625	n/a	79268	A	nontarget	n/a	n/a
311.2109375	n/a	79670	A	nontarget	false_alarm	746.0938
311.9570312	n/a	79861	rt	n/a	false_alarm	746.0938
312.7851562	n/a	80073	D	nontarget	n/a	n/a
314.3710938	n/a	80479	B	nontarget	n/a	n/a
315.9492188	n/a	80883	D	target	miss	n/a
317.5195312	n/a	81285	A	nontarget	miss	n/a
319.09375	n/a	81688	A	nontarget	false_alarm	503.9062
319.5976562	n/a	81817	rt	n/a	false_alarm	503.9062
320.6640625	n/a	82090	C	nontarget	n/a	n/a
322.2421875	n/a	82494	A	target	miss	n/a
323.8242188	n/a	82899	D	nontarget	miss	n/a
325.3984375	n/a	83302	A	target	hit	828.125
326.2265625	n/a	83514	rt	n/a	hit	828.125
326.9726562	n/a	83705	B	nontarget	n/a	n/a
328.546875	n/a	84108	C	nontarget	n/a	n/a
330.1171875	n/a	84510	C	nontarget	n/a	n/a
331.6953125	n/a	84914	B	nontarget	n/a	n/a
333.2773438	n/a	85319	D	nontarget	n/a	n/a
334.8515625	n/a	85722	B	target	miss	n/a
336.4257812	n/a	86125	C	nontarget	miss	n/a
338	n/a	86528	B	target	hit	675.7812
338.6757812	n/a	86701	rt	n/a	hit	675.7812
339.5742188	n/a	86931	D	nontarget	false_alarm	464.8438
340.0390625	n/a	87050	rt	n/a	false_alarm	464.8438
341.1445312	n/a	87333	B	target	miss	n/a
342.7070312	n/a	87733	A	nontarget	miss	n/a
344.2929688	n/a	88139	B	target	hit	441.4062
344.734375	n/a	88252	rt	n/a	hit	441.4062
345.8671875	n/a	88542	B	nontarget	false_alarm	464.8438
346.3320312	n/a	88661	rt	n/a	false_alarm	464.8438
347.4375	n/a	88944	D	nontarget	n/a	n/a
349.0117188	n/a	89347	A	nontarget	n/a	n/a
350.5859375	n/a	89750	A	nontarget	n/a	n/a
352.1601562	n/a	90153	D	nontarget	false_alarm	484.375
352.6445312	n/a	90277	rt	n/a	false_alarm	484.375
353.71875	n/a	90552	B	nontarget	n/a	n/a
355.2773438	n/a	90951	A	nontarget	n/a	n/a
356.8398438	n/a	91351	A	nontarget	n/a	n/a
358.4257812	n/a	91757	C	nontarget	n/a	n/a
360	n/a	92160	B	nontarget	n/a	n/a
361.5703125	n/a	92562	A	nontarget	n/a	n/a
363.1445312	n/a	92965	C	nontarget	n/a	n/a
364.71875	n/a	93368	A	target	hit	710.9375
365.4296875	n/a	93550	rt	n/a	hit	710.9375
366.2929688	n/a	93771	A	nontarget	n/a	n/a
367.8671875	n/a	94174	A	target	hit	785.1562
368.6523438	n/a	94375	rt	n/a	hit	785.1562
369.4375	n/a	94576	D	nontarget	n/a	n/a
371.0117188	n/a	94979	C	nontarget	n/a	n/a
372.5859375	n/a	95382	C	nontarget	n/a	n/a
374.1601562	n/a	95785	C	target	hit	488.2812
374.6484375	n/a	95910	rt	n/a	hit	488.2812
375.7304688	n/a	96187	B	nontarget	n/a	n/a
377.2929688	n/a	96587	B	nontarget	n/a	n/a
378.8789062	n/a	96993	B	target	hit	410.1562
379.2890625	n/a	97098	rt	n/a	hit	410.1562
380.4492188	n/a	97395	D	nontarget	n/a	n/a
382.0273438	n/a	97799	A	nontarget	n/a	n/a
383.5976562	n/a	98201	C	nontarget	n/a	n/a
385.171875	n/a	98604	C	nontarget	n/a	n/a
386.7460938	n/a	99007	C	target	hit	476.5625
387.2226562	n/a	99129	rt	n/a	hit	476.5625
388.3164062	n/a	99409	B	nontarget	n/a	n/a
389.8945312	n/a	99813	B	nontarget	n/a	n/a
391.4648438	n/a	100215	C	nontarget	n/a	n/a
393.0390625	n/a	100618	D	nontarget	n/a	n/a
394.609375	n/a	101020	C	target	hit	679.6875
395.2890625	n/a	101194	rt	n/a	hit	679.6875
396.1835938	n/a	101423	C	nontarget	n/a	n/a
397.7695312	n/a	101829	B	nontarget	n/a	n/a
399.34375	n/a	102232	B	nontarget	n/a	n/a
400.9179688	n/a	102635	B	target	hit	589.8438
401.5078125	n/a	102786	rt	n/a	hit	589.8438
402.4921875	n/a	103038	B	target	hit	808.5938
403.3007812	n/a	103245	rt	n/a	hit	808.5938
404.0664062	n/a	103441	C	nontarget	n/a	n/a
405.6367188	n/a	103843	D	nontarget	n/a	n/a
407.2226562	n/a	104249	A	nontarget	n/a	n/a
408.796875	n/a	104652	A	nontarget	false_alarm	859.375
409.65625	n/a	104872	rt	n/a	false_alarm	859.375
410.3710938	n/a	105055	B	nontarget	n/a	n/a
411.9453125	n/a	105458	C	nontarget	n/a	n/a
413.515625	n/a	105860	C	nontarget	n/a	n/a
415.09375	n/a	106264	A	nontarget	n/a	n/a
416.6640625	n/a	106666	D	nontarget	n/a	n/a
418.2265625	n/a	107066	A	target	hit	496.0938
418.7226562	n/a	107193	rt	n/a	hit	496.0938
419.7851562	n/a	107465	A	nontarget	n/a	n/a
421.3554688	n/a	107867	A	target	hit	585.9375
421.9414062	n/a	108017	rt	n/a	hit	585.9375
422.9296875	n/a	108270	B	nontarget	n/a	n/a
424.5039062	n/a	108673	C	nontarget	n/a	n/a
426.078125	n/a	109076	C	nontarget	n/a	n/a
427.6523438	n/a	109479	A	nontarget	n/a	n/a
429.2226562	n/a	109881	D	nontarget	n/a	n/a
430.7851562	n/a	110281	B	nontarget	n/a	n/a
432.34375	n/a	110680	B	nontarget	n/a	n/a
433.9179688	n/a	111083	D	nontarget	n/a	n/a
435.4882812	n/a	111485	A	nontarget	n/a	n/a
437.0625	n/a	111888	D	target	hit	929.6875
437.9921875	n/a	112126	rt	n/a	hit	929.6875
438.6367188	n/a	112291	B	nontarget	n/a	n/a
440.2109375	n/a	112694	D	target	miss	n/a
441.78125	n/a	113096	A	nontarget	false_alarm	871.0938
