onset	duration	sample	value	stimulus	response_type	response_time
17.8671875	n/a	4574	D	nontarget	n/a	n/a
19.49609375	n/a	4991	C	nontarget	n/a	n/a
21.15234375	n/a	5415	D	target	hit	449.2188
21.6015625	n/a	5530	rt	n/a	hit	449.2188
22.7265625	n/a	5818	A	nontarget	n/a	n/a
24.30078125	n/a	6221	C	nontarget	n/a	n/a
25.87109375	n/a	6623	A	target	hit	429.6875
26.30078125	n/a	6733	rt	n/a	hit	429.6875
27.4453125	n/a	7026	D	nontarget	n/a	n/a
29.00390625	n/a	7425	C	nontarget	false_alarm	679.6875
29.68359375	n/a	7599	rt	n/a	false_alarm	679.6875
30.56640625	n/a	7825	A	nontarget	n/a	n/a
32.125	n/a	8224	D	nontarget	n/a	n/a
33.78515625	n/a	8649	B	nontarget	n/a	n/a
35.3515625	n/a	9050	C	nontarget	n/a	n/a
36.92578125	n/a	9453	D	nontarget	n/a	n/a
38.5	n/a	9856	C	target	hit	628.9062
39.12890625	n/a	10017	rt	n/a	hit	628.9062
40.0703125	n/a	10258	B	nontarget	n/a	n/a
41.64453125	n/a	10661	A	nontarget	n/a	n/a
43.21875	n/a	11064	D	nontarget	n/a	n/a
44.77734375	n/a	11463	B	nontarget	n/a	n/a
46.33984375	n/a	11863	C	nontarget	n/a	n/a
47.8984375	n/a	12262	C	nontarget	false_alarm	640.625
48.5390625	n/a	12426	rt	n/a	false_alarm	640.625
49.45703125	n/a	12661	B	nontarget	n/a	n/a
51.01953125	n/a	13061	D	nontarget	n/a	n/a
52.578125	n/a	13460	C	nontarget	n/a	n/a
54.13671875	n/a	13859	C	nontarget	n/a	n/a
55.69921875	n/a	14259	D	nontarget	n/a	n/a
57.2578125	n/a	14658	C	target	hit	523.4375
57.78125	n/a	14792	rt	n/a	hit	523.4375
58.81640625	n/a	15057	A	nontarget	n/a	n/a
60.37890625	n/a	15457	B	nontarget	n/a	n/a
61.9375	n/a	15856	C	nontarget	n/a	n/a
63.49609375	n/a	16255	C	nontarget	n/a	n/a
65.05859375	n/a	16655	B	nontarget	n/a	n/a
66.6171875	n/a	17054	C	target	hit	1406.25
68.0234375	n/a	17414	rt	n/a	hit	1406.25
68.296875	n/a	17484	B	target	miss	n/a
69.87109375	n/a	17887	D	nontarget	miss	n/a
71.4453125	n/a	18290	A	nontarget	n/a	n/a
73.01953125	n/a	18693	B	nontarget	n/a	n/a
74.58984375	n/a	19095	D	nontarget	n/a	n/a
76.1640625	n/a	19498	A	nontarget	n/a	n/a
77.72265625	n/a	19897	A	nontarget	n/a	n/a
79.28515625	n/a	20297	D	nontarget	n/a	n/a
80.84375	n/a	20696	D	nontarget	n/a	n/a
82.40625	n/a	21096	B	nontarget	n/a	n/a
83.96484375	n/a	21495	B	nontarget	n/a	n/a
85.5234375	n/a	21894	A	nontarget	n/a	n/a
87.0859375	n/a	22294	D	nontarget	n/a	n/a
88.64453125	n/a	22693	B	nontarget	n/a	n/a
90.203125	n/a	23092	B	nontarget	n/a	n/a
91.765625	n/a	23492	A	nontarget	n/a	n/a
93.32421875	n/a	23891	A	nontarget	n/a	n/a
94.8828125	n/a	24290	B	nontarget	n/a	n/a
96.4453125	n/a	24690	C	nontarget	n/a	n/a
98.00390625	n/a	25089	D	nontarget	n/a	n/a
99.5625	n/a	25488	B	nontarget	n/a	n/a
101.125	n/a	25888	B	nontarget	n/a	n/a
102.7890625	n/a	26314	A	nontarget	n/a	n/a
104.3632812	n/a	26717	B	target	miss	n/a
105.9375	n/a	27120	A	target	hit	1062.5
107	n/a	27392	rt	n/a	hit	1062.5
107.5117188	n/a	27523	D	nontarget	n/a	n/a
109.0820312	n/a	27925	C	nontarget	n/a	n/a
110.65625	n/a	28328	D	target	hit	457.0312
111.1132812	n/a	28445	rt	n/a	hit	457.0312
112.21875	n/a	28728	B	nontarget	n/a	n/a
113.7773438	n/a	29127	B	nontarget	n/a	n/a
115.3359375	n/a	29526	B	target	hit	632.8125
115.96875	n/a	29688	rt	n/a	hit	632.8125
116.8984375	n/a	29926	D	nontarget	n/a	n/a
118.4570312	n/a	30325	A	nontarget	n/a	n/a
120.015625	n/a	30724	A	nontarget	n/a	n/a
121.578125	n/a	31124	C	nontarget	n/a	n/a
123.1367188	n/a	31523	B	nontarget	n/a	n/a
124.6953125	n/a	31922	D	nontarget	n/a	n/a
126.2578125	n/a	32322	B	target	hit	902.3438
127.1601562	n/a	32553	rt	n/a	hit	902.3438
127.8164062	n/a	32721	D	target	hit	843.75
128.6601562	n/a	32937	rt	n/a	hit	843.75
129.375	n/a	33120	C	nontarget	n/a	n/a
130.9375	n/a	33520	D	target	miss	n/a
132.4960938	n/a	33919	A	nontarget	miss	n/a
134.0546875	n/a	34318	B	nontarget	n/a	n/a
135.6171875	n/a	34718	D	nontarget	n/a	n/a
137.296875	n/a	35148	C	nontarget	false_alarm	1039.0625
138.3359375	n/a	35414	rt	n/a	false_alarm	1039.0625
138.8710938	n/a	35551	B	nontarget	n/a	n/a
