onset	duration	sample	value	response_type	response_time
13.92236328	n/a	3564.125	nontarget	correct	0.73877
14.66113281	n/a	3753.25	rt	correct	0.73877
15.41601562	n/a	3946.5	nontarget	correct	0.46631
15.88232422	n/a	4065.875	rt	correct	0.46631
16.89599609	n/a	4325.375	nontarget	correct	0.56494
17.4609375	n/a	4470	rt	correct	0.56494
18.37597656	n/a	4704.25	nontarget	correct	0.55322
18.92919922	n/a	4845.875	rt	correct	0.55322
19.85595703	n/a	5083.125	nontarget	correct	0.48145
20.33740234	n/a	5206.375	rt	correct	0.48145
21.32226562	n/a	5458.5	target	correct	n/a
22.80273438	n/a	5837.5	nontarget	correct	0.51318
23.31591797	n/a	5968.875	rt	correct	0.51318
24.28222656	n/a	6216.25	nontarget	correct	0.44434
24.7265625	n/a	6330	rt	correct	0.44434
25.34912109	n/a	6489.375	target	correct	n/a
26.84228516	n/a	6871.625	nontarget	correct	0.43994
27.28222656	n/a	6984.25	rt	correct	0.43994
27.90917969	n/a	7144.75	nontarget	correct	0.79785
28.70703125	n/a	7349	rt	correct	0.79785
29.38916016	n/a	7523.625	nontarget	correct	0.52344
29.91259766	n/a	7657.625	rt	correct	0.52344
30.88232422	n/a	7905.875	nontarget	correct	0.48828
31.37060547	n/a	8030.875	rt	correct	0.48828
32.36230469	n/a	8284.75	nontarget	correct	0.42334
32.78564453	n/a	8393.125	rt	correct	0.42334
33.42871094	n/a	8557.75	nontarget	correct	0.50244
33.93115234	n/a	8686.375	rt	correct	0.50244
34.89550781	n/a	8933.25	nontarget	correct	0.39111
35.28662109	n/a	9033.375	rt	correct	0.39111
35.96240234	n/a	9206.375	nontarget	correct	0.42188
36.38427734	n/a	9314.375	rt	correct	0.42188
37.02880859	n/a	9479.375	nontarget	correct	0.51904
37.54785156	n/a	9612.25	rt	correct	0.51904
38.50878906	n/a	9858.25	nontarget	correct	0.42725
38.93603516	n/a	9967.625	rt	correct	0.42725
39.57519531	n/a	10131.25	nontarget	correct	0.48877
40.06396484	n/a	10256.375	rt	correct	0.48877
41.06884766	n/a	10513.625	nontarget	correct	0.37939
41.44824219	n/a	10610.75	rt	correct	0.37939
42.13623047	n/a	10786.875	nontarget	correct	0.42236
42.55859375	n/a	10895	rt	correct	0.42236
43.21533203	n/a	11063.125	nontarget	correct	0.42383
43.63916016	n/a	11171.625	rt	correct	0.42383
44.28222656	n/a	11336.25	nontarget	correct	0.38916
44.67138672	n/a	11435.875	rt	correct	0.38916
45.34863281	n/a	11609.25	nontarget	correct	0.34766
45.69628906	n/a	11698.25	rt	correct	0.34766
46.42871094	n/a	11885.75	nontarget	correct	0.37646
46.80517578	n/a	11982.125	rt	correct	0.37646
47.50878906	n/a	12162.25	nontarget	correct	0.35938
47.86816406	n/a	12254.25	rt	correct	0.35938
48.57519531	n/a	12435.25	nontarget	correct	0.32861
48.90380859	n/a	12519.375	rt	correct	0.32861
49.64208984	n/a	12708.375	nontarget	correct	0.3833
50.02539062	n/a	12806.5	rt	correct	0.3833
50.70849609	n/a	12981.375	nontarget	correct	0.375
51.08349609	n/a	13077.375	rt	correct	0.375
51.77490234	n/a	13254.375	nontarget	correct	0.38428
52.15917969	n/a	13352.75	rt	correct	0.38428
52.85498047	n/a	13530.875	nontarget	correct	0.36963
53.22460938	n/a	13625.5	rt	correct	0.36963
53.921875	n/a	13804	nontarget	correct	0.39941
54.32128906	n/a	13906.25	rt	correct	0.39941
54.98828125	n/a	14077	nontarget	correct	0.42188
55.41015625	n/a	14185	rt	correct	0.42188
56.05517578	n/a	14350.125	nontarget	correct	0.48047
56.53564453	n/a	14473.125	rt	correct	0.48047
57.53515625	n/a	14729	nontarget	correct	0.33594
57.87109375	n/a	14815	rt	correct	0.33594
58.6015625	n/a	15002	target	correct	n/a
60.08154297	n/a	15380.875	nontarget	correct	0.38232
60.46386719	n/a	15478.75	rt	correct	0.38232
