onset	duration	sample	value	response_type	congruence	response_time	response_out_of_range	largeletter	smallletter
6.88671875	n/a	1763	largeTSmallH	correct	incongruent	1.1562	no	T	H
8.04296875	n/a	2059	responseLargeT	correct	n/a	1.1562	no	n/a	n/a
9.125	n/a	2336	largeTSmallH	correct	incongruent	0.63281	no	T	H
9.7578125	n/a	2498	responseLargeT	correct	n/a	0.63281	no	n/a	n/a
10.83203125	n/a	2773	largeTSmallT	correct	congruent	0.44531	no	T	T
11.27734375	n/a	2887	responseLargeT	correct	n/a	0.44531	no	n/a	n/a
12.3515625	n/a	3162	largeHSmallH	correct	congruent	0.46094	no	H	H
12.8125	n/a	3280	responseLargeH	correct	n/a	0.46094	no	n/a	n/a
13.87109375	n/a	3551	largeTSmallT	correct	congruent	0.44922	no	T	T
14.3203125	n/a	3666	responseLargeT	correct	n/a	0.44922	no	n/a	n/a
15.390625	n/a	3940	largeHSmallT	correct	incongruent	0.46094	no	H	T
15.8515625	n/a	4058	responseLargeH	correct	n/a	0.46094	no	n/a	n/a
16.91015625	n/a	4329	largeHSmallH	correct	congruent	0.40625	no	H	H
17.31640625	n/a	4433	responseLargeH	correct	n/a	0.40625	no	n/a	n/a
18.37890625	n/a	4705	largeTSmallH	correct	incongruent	0.4375	no	T	H
18.81640625	n/a	4817	responseLargeT	correct	n/a	0.4375	no	n/a	n/a
19.8828125	n/a	5090	largeTSmallT	correct	congruent	0.47266	no	T	T
20.35546875	n/a	5211	responseLargeT	correct	n/a	0.47266	no	n/a	n/a
21.4296875	n/a	5486	largeHSmallH	correct	congruent	0.41797	no	H	H
21.84765625	n/a	5593	responseLargeH	correct	n/a	0.41797	no	n/a	n/a
22.92578125	n/a	5869	largeHSmallT	correct	incongruent	0.41797	no	H	T
23.34375	n/a	5976	responseLargeH	correct	n/a	0.41797	no	n/a	n/a
24.40234375	n/a	6247	largeHSmallH	correct	congruent	0.33203	no	H	H
24.734375	n/a	6332	responseLargeH	correct	n/a	0.33203	no	n/a	n/a
25.8046875	n/a	6606	largeHSmallH	correct	congruent	0.375	no	H	H
26.1796875	n/a	6702	responseLargeH	correct	n/a	0.375	no	n/a	n/a
27.2421875	n/a	6974	largeTSmallT	correct	congruent	0.42969	no	T	T
27.671875	n/a	7084	responseLargeT	correct	n/a	0.42969	no	n/a	n/a
28.73828125	n/a	7357	largeTSmallT	correct	congruent	0.46484	no	T	T
29.203125	n/a	7476	responseLargeT	correct	n/a	0.46484	no	n/a	n/a
30.26953125	n/a	7749	largeTSmallH	correct	incongruent	0.375	no	T	H
30.64453125	n/a	7845	responseLargeT	correct	n/a	0.375	no	n/a	n/a
31.69921875	n/a	8115	largeTSmallT	correct	congruent	0.43359	no	T	T
32.1328125	n/a	8226	responseLargeT	correct	n/a	0.43359	no	n/a	n/a
33.203125	n/a	8500	largeTSmallH	correct	incongruent	0.41406	no	T	H
33.6171875	n/a	8606	responseLargeT	correct	n/a	0.41406	no	n/a	n/a
34.68359375	n/a	8879	largeTSmallH	correct	incongruent	0.47266	no	T	H
35.15625	n/a	9000	responseLargeT	correct	n/a	0.47266	no	n/a	n/a
36.23046875	n/a	9275	largeHSmallT	correct	incongruent	0.47656	no	H	T
36.70703125	n/a	9397	responseLargeH	correct	n/a	0.47656	no	n/a	n/a
37.77734375	n/a	9671	largeTSmallH	correct	incongruent	0.49219	no	T	H
38.26953125	n/a	9797	responseLargeT	correct	n/a	0.49219	no	n/a	n/a
39.3359375	n/a	10070	largeHSmallT	correct	incongruent	0.40234	no	H	T
39.73828125	n/a	10173	responseLargeH	correct	n/a	0.40234	no	n/a	n/a
40.8046875	n/a	10446	largeHSmallH	correct	congruent	0.42188	no	H	H
41.2265625	n/a	10554	responseLargeH	correct	n/a	0.42188	no	n/a	n/a
42.296875	n/a	10828	largeTSmallH	correct	incongruent	0.39844	no	T	H
42.6953125	n/a	10930	responseLargeT	correct	n/a	0.39844	no	n/a	n/a
43.76171875	n/a	11203	largeHSmallT	correct	incongruent	0.44531	no	H	T
44.20703125	n/a	11317	responseLargeH	correct	n/a	0.44531	no	n/a	n/a
45.28515625	n/a	11593	largeTSmallH	correct	incongruent	0.41797	no	T	H
45.703125	n/a	11700	responseLargeT	correct	n/a	0.41797	no	n/a	n/a
46.77734375	n/a	11975	largeHSmallT	correct	incongruent	0.41406	no	H	T
47.19140625	n/a	12081	responseLargeH	correct	n/a	0.41406	no	n/a	n/a
48.2578125	n/a	12354	largeTSmallH	correct	incongruent	0.35547	no	T	H
48.61328125	n/a	12445	responseLargeT	correct	n/a	0.35547	no	n/a	n/a
49.68359375	n/a	12719	largeHSmallH	correct	congruent	0.46484	no	H	H
50.1484375	n/a	12838	responseLargeH	correct	n/a	0.46484	no	n/a	n/a
51.21875	n/a	13112	largeTSmallH	correct	incongruent	0.42969	no	T	H
51.6484375	n/a	13222	responseLargeT	correct	n/a	0.42969	no	n/a	n/a
52.72265625	n/a	13497	largeHSmallH	correct	congruent	0.39453	no	H	H
53.1171875	n/a	13598	responseLargeH	correct	n/a	0.39453	no	n/a	n/a
54.19140625	n/a	13873	largeTSmallH	correct	incongruent	0.41797	no	T	H
54.609375	n/a	13980	responseLargeT	correct	n/a	0.41797	no	n/a	n/a
55.68359375	n/a	14255	largeTSmallH	correct	incongruent	0.41406	no	T	H
56.09765625	n/a	14361	responseLargeT	correct	n/a	0.41406	no	n/a	n/a
57.1640625	n/a	14634	largeTSmallH	correct	incongruent	0.38281	no	T	H
57.546875	n/a	14732	responseLargeT	correct	n/a	0.38281	no	n/a	n/a
58.6171875	n/a	15006	largeHSmallT	correct	incongruent	0.40625	no	H	T
59.0234375	n/a	15110	responseLargeH	correct	n/a	0.40625	no	n/a	n/a
60.09765625	n/a	15385	largeTSmallT	correct	congruent	0.37891	no	T	T
60.4765625	n/a	15482	responseLargeT	correct	n/a	0.37891	no	n/a	n/a
61.55078125	n/a	15757	largeHSmallT	correct	incongruent	0.34375	no	H	T
61.89453125	n/a	15845	responseLargeH	correct	n/a	0.34375	no	n/a	n/a
62.96484375	n/a	16119	largeTSmallH	correct	incongruent	0.3125	no	T	H
