onset	duration	sample	value	stimulus	response_type	response_time
18.82080078	n/a	4818.125	D	nontarget	n/a	n/a
20.38818359	n/a	5219.375	B	nontarget	n/a	n/a
21.96142578	n/a	5622.125	C	nontarget	n/a	n/a
23.52148438	n/a	6021.5	D	nontarget	n/a	n/a
25.08154297	n/a	6420.875	C	nontarget	n/a	n/a
26.64257812	n/a	6820.5	B	nontarget	n/a	n/a
28.21533203	n/a	7223.125	A	nontarget	n/a	n/a
29.77685547	n/a	7622.875	C	nontarget	n/a	n/a
31.34912109	n/a	8025.375	C	target	hit	492.6758
31.84179688	n/a	8151.5	rt	n/a	hit	492.6758
32.92285156	n/a	8428.25	C	target	hit	657.2266
33.58007812	n/a	8596.5	rt	n/a	hit	657.2266
34.49609375	n/a	8831	A	nontarget	n/a	n/a
36.06933594	n/a	9233.75	D	nontarget	n/a	n/a
37.64404297	n/a	9636.875	C	nontarget	n/a	n/a
39.22900391	n/a	10042.625	A	nontarget	n/a	n/a
40.80224609	n/a	10445.375	A	target	hit	579.1016
41.38134766	n/a	10593.625	rt	n/a	hit	579.1016
42.37548828	n/a	10848.125	D	nontarget	n/a	n/a
43.94824219	n/a	11250.75	A	nontarget	n/a	n/a
45.53564453	n/a	11657.125	B	nontarget	n/a	n/a
47.10839844	n/a	12059.75	A	nontarget	n/a	n/a
48.68310547	n/a	12462.875	C	nontarget	n/a	n/a
50.25488281	n/a	12865.25	B	nontarget	n/a	n/a
51.83007812	n/a	13268.5	A	nontarget	n/a	n/a
53.40136719	n/a	13670.75	B	nontarget	n/a	n/a
54.97558594	n/a	14073.75	A	nontarget	n/a	n/a
56.54785156	n/a	14476.25	C	nontarget	n/a	n/a
58.12304688	n/a	14879.5	C	target	hit	607.4219
58.73046875	n/a	15035	rt	n/a	hit	607.4219
59.70849609	n/a	15285.375	A	nontarget	n/a	n/a
61.28222656	n/a	15688.25	A	target	hit	474.1211
61.75634766	n/a	15809.625	rt	n/a	hit	474.1211
62.85498047	n/a	16090.875	C	nontarget	n/a	n/a
64.42822266	n/a	16493.625	D	nontarget	n/a	n/a
66.00146484	n/a	16896.375	A	nontarget	n/a	n/a
67.56298828	n/a	17296.125	B	nontarget	n/a	n/a
69.14794922	n/a	17701.875	A	nontarget	n/a	n/a
70.72314453	n/a	18105.125	A	target	hit	579.5898
71.30273438	n/a	18253.5	rt	n/a	hit	579.5898
72.29492188	n/a	18507.5	C	nontarget	n/a	n/a
73.86767578	n/a	18910.125	B	nontarget	n/a	n/a
75.44140625	n/a	19313	D	nontarget	n/a	n/a
77.01611328	n/a	19716.125	D	target	hit	749.5117
77.765625	n/a	19908	rt	n/a	hit	749.5117
78.6015625	n/a	20122	B	nontarget	n/a	n/a
80.17480469	n/a	20524.75	B	target	hit	590.332
80.76513672	n/a	20675.875	rt	n/a	hit	590.332
81.74951172	n/a	20927.875	B	target	hit	443.3594
82.19287109	n/a	21041.375	rt	n/a	hit	443.3594
83.32128906	n/a	21330.25	C	nontarget	n/a	n/a
84.89453125	n/a	21733	A	nontarget	n/a	n/a
86.48095703	n/a	22139.125	A	target	hit	526.8555
87.0078125	n/a	22274	rt	n/a	hit	526.8555
88.05615234	n/a	22542.375	C	nontarget	n/a	n/a
89.62744141	n/a	22944.625	D	nontarget	n/a	n/a
91.20117188	n/a	23347.5	D	target	hit	432.1289
91.63330078	n/a	23458.125	rt	n/a	hit	432.1289
92.77441406	n/a	23750.25	D	target	hit	512.207
93.28662109	n/a	23881.375	rt	n/a	hit	512.207
94.34765625	n/a	24153	D	target	hit	419.9219
94.76757812	n/a	24260.5	rt	n/a	hit	419.9219
95.93457031	n/a	24559.25	B	nontarget	n/a	n/a
97.50732422	n/a	24961.875	B	target	hit	496.582
98.00390625	n/a	25089	rt	n/a	hit	496.582
99.08251953	n/a	25365.125	B	target	hit	436.0352
99.51855469	n/a	25476.75	rt	n/a	hit	436.0352
100.6538086	n/a	25767.375	C	nontarget	n/a	n/a
102.2275391	n/a	26170.25	B	nontarget	n/a	n/a
103.8007812	n/a	26573	C	nontarget	n/a	n/a
105.3745117	n/a	26975.875	D	nontarget	n/a	n/a
106.9345703	n/a	27375.25	D	target	hit	479.4922
107.4140625	n/a	27498	rt	n/a	hit	479.4922
108.4941406	n/a	27774.5	D	target	hit	461.9141
108.9560547	n/a	27892.75	rt	n/a	hit	461.9141
110.0673828	n/a	28177.25	C	nontarget	false_alarm	662.1094
