onset	duration	sample	value	stimulus	response_type	response_time
29.75	n/a	7616	C	nontarget	n/a	n/a
31.4140625	n/a	8042	A	nontarget	n/a	n/a
32.98828125	n/a	8445	B	nontarget	n/a	n/a
34.55859375	n/a	8847	B	target	hit	621.0938
35.1796875	n/a	9006	rt	n/a	hit	621.0938
36.1328125	n/a	9250	A	nontarget	n/a	n/a
37.703125	n/a	9652	C	nontarget	n/a	n/a
39.2890625	n/a	10058	B	nontarget	n/a	n/a
40.86328125	n/a	10461	B	target	hit	492.1875
41.35546875	n/a	10587	rt	n/a	hit	492.1875
42.43359375	n/a	10863	D	nontarget	n/a	n/a
44.01171875	n/a	11267	C	nontarget	n/a	n/a
45.58203125	n/a	11669	D	nontarget	n/a	n/a
47.15625	n/a	12072	C	nontarget	false_alarm	718.75
47.875	n/a	12256	rt	n/a	false_alarm	718.75
48.7265625	n/a	12474	D	nontarget	n/a	n/a
50.3046875	n/a	12878	B	nontarget	n/a	n/a
51.875	n/a	13280	C	nontarget	n/a	n/a
53.44921875	n/a	13683	D	nontarget	n/a	n/a
55.0234375	n/a	14086	B	nontarget	n/a	n/a
56.59375	n/a	14488	D	nontarget	n/a	n/a
58.16796875	n/a	14891	C	nontarget	n/a	n/a
59.75390625	n/a	15297	D	nontarget	n/a	n/a
61.33203125	n/a	15701	D	target	hit	894.5312
62.2265625	n/a	15930	rt	n/a	hit	894.5312
62.90234375	n/a	16103	D	target	hit	769.5312
63.671875	n/a	16300	rt	n/a	hit	769.5312
64.4765625	n/a	16506	B	nontarget	n/a	n/a
66.046875	n/a	16908	A	nontarget	n/a	n/a
67.63671875	n/a	17315	D	nontarget	n/a	n/a
69.20703125	n/a	17717	D	target	hit	804.6875
70.01171875	n/a	17923	rt	n/a	hit	804.6875
70.78515625	n/a	18121	C	nontarget	n/a	n/a
72.35546875	n/a	18523	D	nontarget	n/a	n/a
73.92578125	n/a	18925	B	nontarget	n/a	n/a
75.50390625	n/a	19329	B	target	hit	570.3125
76.07421875	n/a	19475	rt	n/a	hit	570.3125
77.0859375	n/a	19734	B	target	hit	722.6562
77.80859375	n/a	19919	rt	n/a	hit	722.6562
78.6640625	n/a	20138	B	target	hit	468.75
79.1328125	n/a	20258	rt	n/a	hit	468.75
80.23828125	n/a	20541	A	nontarget	n/a	n/a
81.80859375	n/a	20943	B	nontarget	n/a	n/a
83.37890625	n/a	21345	A	nontarget	n/a	n/a
84.95703125	n/a	21749	A	target	hit	742.1875
85.69921875	n/a	21939	rt	n/a	hit	742.1875
86.52734375	n/a	22151	A	target	hit	625
87.15234375	n/a	22311	rt	n/a	hit	625
88.08984375	n/a	22551	A	target	hit	449.2188
88.5390625	n/a	22666	rt	n/a	hit	449.2188
89.66015625	n/a	22953	B	nontarget	n/a	n/a
91.23828125	n/a	23357	A	nontarget	n/a	n/a
92.80859375	n/a	23759	C	nontarget	n/a	n/a
94.3828125	n/a	24162	C	target	hit	500
94.8828125	n/a	24290	rt	n/a	hit	500
95.95703125	n/a	24565	D	nontarget	n/a	n/a
97.52734375	n/a	24967	D	target	hit	664.0625
98.19140625	n/a	25137	rt	n/a	hit	664.0625
99.11328125	n/a	25373	B	nontarget	n/a	n/a
100.6914062	n/a	25777	D	nontarget	n/a	n/a
102.2617188	n/a	26179	D	target	hit	570.3125
102.8320312	n/a	26325	rt	n/a	hit	570.3125
103.8359375	n/a	26582	B	nontarget	n/a	n/a
105.40625	n/a	26984	B	target	hit	500
105.90625	n/a	27112	rt	n/a	hit	500
106.9804688	n/a	27387	D	nontarget	n/a	n/a
108.5664062	n/a	27793	A	nontarget	n/a	n/a
110.140625	n/a	28196	A	target	hit	613.2812
110.7539062	n/a	28353	rt	n/a	hit	613.2812
111.71875	n/a	28600	C	nontarget	n/a	n/a
113.2851562	n/a	29001	D	nontarget	n/a	n/a
114.8632812	n/a	29405	A	nontarget	n/a	n/a
116.4453125	n/a	29810	C	nontarget	n/a	n/a
118.0234375	n/a	30214	A	nontarget	n/a	n/a
119.5976562	n/a	30617	A	target	hit	476.5625
120.0742188	n/a	30739	rt	n/a	hit	476.5625
121.1679688	n/a	31019	B	nontarget	n/a	n/a
122.7421875	n/a	31422	B	target	hit	707.0312
123.4492188	n/a	31603	rt	n/a	hit	707.0312
124.3164062	n/a	31825	D	nontarget	n/a	n/a
125.8984375	n/a	32230	D	target	hit	714.8438
126.6132812	n/a	32413	rt	n/a	hit	714.8438
127.4726562	n/a	32633	D	target	hit	535.1562
128.0078125	n/a	32770	rt	n/a	hit	535.1562
129.046875	n/a	33036	A	nontarget	n/a	n/a
130.6210938	n/a	33439	D	nontarget	n/a	n/a
132.1953125	n/a	33842	D	target	hit	578.125
132.7734375	n/a	33990	rt	n/a	hit	578.125
133.765625	n/a	34244	C	nontarget	n/a	n/a
135.3515625	n/a	34650	D	nontarget	n/a	n/a
136.9257812	n/a	35053	B	nontarget	n/a	n/a
138.5	n/a	35456	B	target	hit	648.4375
139.1484375	n/a	35622	rt	n/a	hit	648.4375
140.0742188	n/a	35859	B	target	hit	589.8438
140.6640625	n/a	36010	rt	n/a	hit	589.8438
141.6445312	n/a	36261	D	nontarget	n/a	n/a
143.2226562	n/a	36665	B	nontarget	n/a	n/a
144.8046875	n/a	37070	D	nontarget	n/a	n/a
146.3789062	n/a	37473	B	nontarget	n/a	n/a
147.9570312	n/a	37877	C	nontarget	n/a	n/a
149.5273438	n/a	38279	D	nontarget	n/a	n/a
151.1015625	n/a	38682	D	target	hit	531.25
151.6328125	n/a	38818	rt	n/a	hit	531.25
152.6757812	n/a	39085	D	target	hit	542.9688
153.21875	n/a	39224	rt	n/a	hit	542.9688
154.234375	n/a	39484	D	target	hit	457.0312
154.6914062	n/a	39601	rt	n/a	hit	457.0312
155.8203125	n/a	39890	B	nontarget	n/a	n/a
157.3945312	n/a	40293	B	target	hit	839.8438
158.234375	n/a	40508	rt	n/a	hit	839.8438
158.9648438	n/a	40695	D	nontarget	n/a	n/a
160.5390625	n/a	41098	D	target	hit	640.625
161.1796875	n/a	41262	rt	n/a	hit	640.625
162.1171875	n/a	41502	A	nontarget	n/a	n/a
163.6875	n/a	41904	D	nontarget	n/a	n/a
165.25	n/a	42304	A	nontarget	n/a	n/a
166.8320312	n/a	42709	D	nontarget	n/a	n/a
168.40625	n/a	43112	B	nontarget	n/a	n/a
169.9804688	n/a	43515	C	nontarget	n/a	n/a
171.5546875	n/a	43918	C	target	hit	667.9688
172.2226562	n/a	44089	rt	n/a	hit	667.9688
173.125	n/a	44320	B	nontarget	n/a	n/a
174.7109375	n/a	44726	C	nontarget	n/a	n/a
176.2890625	n/a	45130	B	nontarget	n/a	n/a
177.859375	n/a	45532	A	nontarget	n/a	n/a
179.4335938	n/a	45935	C	nontarget	n/a	n/a
181.0039062	n/a	46337	C	target	hit	730.4688
181.734375	n/a	46524	rt	n/a	hit	730.4688
182.578125	n/a	46740	A	nontarget	n/a	n/a
184.1640625	n/a	47146	A	target	hit	542.9688
184.7070312	n/a	47285	rt	n/a	hit	542.9688
185.7382812	n/a	47549	D	nontarget	n/a	n/a
187.3125	n/a	47952	B	nontarget	n/a	n/a
188.8867188	n/a	48355	B	target	hit	679.6875
189.5664062	n/a	48529	rt	n/a	hit	679.6875
190.4609375	n/a	48758	D	nontarget	n/a	n/a
192.0351562	n/a	49161	B	nontarget	n/a	n/a
193.6171875	n/a	49566	B	target	hit	652.3438
194.2695312	n/a	49733	rt	n/a	hit	652.3438
195.1953125	n/a	49970	D	nontarget	n/a	n/a
196.765625	n/a	50372	A	nontarget	n/a	n/a
198.3398438	n/a	50775	A	target	hit	617.1875
198.9570312	n/a	50933	rt	n/a	hit	617.1875
199.9140625	n/a	51178	B	nontarget	n/a	n/a
201.484375	n/a	51580	B	target	hit	597.6562
202.0820312	n/a	51733	rt	n/a	hit	597.6562
203.0585938	n/a	51983	A	nontarget	n/a	n/a
204.6328125	n/a	52386	C	nontarget	n/a	n/a
206.203125	n/a	52788	D	nontarget	n/a	n/a
207.78125	n/a	53192	B	nontarget	n/a	n/a
209.3554688	n/a	53595	D	nontarget	n/a	n/a
210.9257812	n/a	53997	A	nontarget	n/a	n/a
212.5	n/a	54400	D	nontarget	n/a	n/a
214.0585938	n/a	54799	A	nontarget	n/a	n/a
215.6445312	n/a	55205	D	nontarget	n/a	n/a
217.21875	n/a	55608	B	nontarget	n/a	n/a
218.7929688	n/a	56011	C	nontarget	n/a	n/a
220.3632812	n/a	56413	A	nontarget	n/a	n/a
221.9375	n/a	56816	B	nontarget	n/a	n/a
223.5234375	n/a	57222	D	nontarget	n/a	n/a
225.0976562	n/a	57625	B	nontarget	n/a	n/a
226.6757812	n/a	58029	B	target	hit	632.8125
227.3085938	n/a	58191	rt	n/a	hit	632.8125
228.2460938	n/a	58431	B	target	hit	660.1562
228.90625	n/a	58600	rt	n/a	hit	660.1562
229.8203125	n/a	58834	C	nontarget	n/a	n/a
231.3945312	n/a	59237	A	nontarget	n/a	n/a
232.9765625	n/a	59642	B	nontarget	n/a	n/a
234.5546875	n/a	60046	B	target	hit	542.9688
235.0976562	n/a	60185	rt	n/a	hit	542.9688
236.125	n/a	60448	A	nontarget	n/a	n/a
237.6992188	n/a	60851	A	target	hit	500
238.1992188	n/a	60979	rt	n/a	hit	500
239.2734375	n/a	61254	D	nontarget	n/a	n/a
240.84375	n/a	61656	A	nontarget	n/a	n/a
242.40625	n/a	62056	C	nontarget	n/a	n/a
243.9921875	n/a	62462	A	nontarget	n/a	n/a
245.5625	n/a	62864	A	target	hit	515.625
246.078125	n/a	62996	rt	n/a	hit	515.625
247.140625	n/a	63268	D	nontarget	n/a	n/a
248.7148438	n/a	63671	B	nontarget	n/a	n/a
250.2851562	n/a	64073	C	nontarget	n/a	n/a
251.859375	n/a	64476	B	nontarget	n/a	n/a
253.4179688	n/a	64875	B	target	hit	527.3438
253.9453125	n/a	65010	rt	n/a	hit	527.3438
254.9921875	n/a	65278	C	nontarget	n/a	n/a
256.5625	n/a	65680	D	nontarget	n/a	n/a
258.140625	n/a	66084	A	nontarget	n/a	n/a
