onset	duration	sample	value	stimulus	response_type	response_time
29.359375	n/a	7516	D	nontarget	n/a	n/a
31.41796875	n/a	8043	A	nontarget	n/a	n/a
33.00390625	n/a	8449	C	nontarget	n/a	n/a
34.58203125	n/a	8853	D	nontarget	n/a	n/a
36.16796875	n/a	9259	A	nontarget	n/a	n/a
37.7421875	n/a	9662	A	target	hit	445.3125
38.1875	n/a	9776	rt	n/a	hit	445.3125
39.31640625	n/a	10065	D	nontarget	n/a	n/a
40.88671875	n/a	10467	B	nontarget	n/a	n/a
42.4609375	n/a	10870	B	target	hit	582.0312
43.04296875	n/a	11019	rt	n/a	hit	582.0312
44.046875	n/a	11276	D	nontarget	n/a	n/a
45.62109375	n/a	11679	B	nontarget	n/a	n/a
47.19140625	n/a	12081	C	nontarget	n/a	n/a
48.765625	n/a	12484	D	nontarget	n/a	n/a
50.33984375	n/a	12887	C	nontarget	n/a	n/a
51.9140625	n/a	13290	B	nontarget	n/a	n/a
53.5	n/a	13696	A	nontarget	n/a	n/a
55.07421875	n/a	14099	B	nontarget	n/a	n/a
56.64453125	n/a	14501	C	nontarget	n/a	n/a
58.21875	n/a	14904	D	nontarget	n/a	n/a
59.80078125	n/a	15309	B	nontarget	n/a	n/a
61.37890625	n/a	15713	B	target	hit	476.5625
61.85546875	n/a	15835	rt	n/a	hit	476.5625
62.953125	n/a	16116	B	target	hit	472.6562
63.42578125	n/a	16237	rt	n/a	hit	472.6562
64.52734375	n/a	16519	D	nontarget	n/a	n/a
66.09765625	n/a	16921	C	nontarget	n/a	n/a
67.671875	n/a	17324	C	target	hit	667.9688
68.33984375	n/a	17495	rt	n/a	hit	667.9688
69.24609375	n/a	17727	A	nontarget	n/a	n/a
70.8203125	n/a	18130	D	nontarget	n/a	n/a
72.390625	n/a	18532	B	nontarget	n/a	n/a
73.953125	n/a	18932	B	target	hit	511.7188
74.46484375	n/a	19063	rt	n/a	hit	511.7188
75.52734375	n/a	19335	D	nontarget	n/a	n/a
77.09765625	n/a	19737	D	target	hit	464.8438
77.5625	n/a	19856	rt	n/a	hit	464.8438
78.671875	n/a	20140	B	nontarget	n/a	n/a
80.24609375	n/a	20543	B	target	hit	703.125
80.94921875	n/a	20723	rt	n/a	hit	703.125
81.8203125	n/a	20946	C	nontarget	n/a	n/a
83.40625	n/a	21352	A	nontarget	n/a	n/a
84.98046875	n/a	21755	A	target	hit	718.75
85.69921875	n/a	21939	rt	n/a	hit	718.75
86.55078125	n/a	22157	A	target	hit	683.5938
87.234375	n/a	22332	rt	n/a	hit	683.5938
88.125	n/a	22560	C	nontarget	n/a	n/a
89.69921875	n/a	22963	C	target	hit	449.2188
90.1484375	n/a	23078	rt	n/a	hit	449.2188
91.2734375	n/a	23366	C	target	hit	488.2812
91.76171875	n/a	23491	rt	n/a	hit	488.2812
92.859375	n/a	23772	C	target	hit	511.7188
93.37109375	n/a	23903	rt	n/a	hit	511.7188
94.43359375	n/a	24175	C	target	hit	492.1875
94.92578125	n/a	24301	rt	n/a	hit	492.1875
96.0078125	n/a	24578	D	nontarget	n/a	n/a
97.578125	n/a	24980	D	target	hit	535.1562
98.11328125	n/a	25117	rt	n/a	hit	535.1562
99.15234375	n/a	25383	D	target	hit	515.625
99.66796875	n/a	25515	rt	n/a	hit	515.625
100.7265625	n/a	25786	B	nontarget	n/a	n/a
102.3125	n/a	26192	D	nontarget	n/a	n/a
103.8867188	n/a	26595	C	nontarget	n/a	n/a
105.4570312	n/a	26997	D	nontarget	n/a	n/a
107.03125	n/a	27400	D	target	hit	769.5312
107.8007812	n/a	27597	rt	n/a	hit	769.5312
108.6054688	n/a	27803	B	nontarget	n/a	n/a
110.1914062	n/a	28209	D	nontarget	n/a	n/a
111.765625	n/a	28612	D	target	hit	812.5
112.578125	n/a	28820	rt	n/a	hit	812.5
113.3398438	n/a	29015	C	nontarget	n/a	n/a
114.9101562	n/a	29417	B	nontarget	n/a	n/a
116.484375	n/a	29820	D	nontarget	n/a	n/a
118.0625	n/a	30224	C	nontarget	n/a	n/a
119.6328125	n/a	30626	D	nontarget	n/a	n/a
