onset	duration	sample	value	stimulus	response_type	response_time
22.49609375	n/a	5759	C	nontarget	n/a	n/a
24.1640625	n/a	6186	B	nontarget	n/a	n/a
25.75	n/a	6592	A	nontarget	n/a	n/a
27.328125	n/a	6996	C	nontarget	n/a	n/a
28.90234375	n/a	7399	C	target	hit	796.875
29.69921875	n/a	7603	rt	n/a	hit	796.875
30.48046875	n/a	7803	B	nontarget	n/a	n/a
32.05078125	n/a	8205	D	nontarget	n/a	n/a
33.609375	n/a	8604	C	nontarget	n/a	n/a
35.16796875	n/a	9003	A	nontarget	n/a	n/a
36.73046875	n/a	9403	D	nontarget	n/a	n/a
38.2890625	n/a	9802	A	nontarget	n/a	n/a
39.84765625	n/a	10201	C	nontarget	n/a	n/a
41.41015625	n/a	10601	A	nontarget	n/a	n/a
42.96875	n/a	11000	B	nontarget	n/a	n/a
44.53125	n/a	11400	C	nontarget	n/a	n/a
46.08984375	n/a	11799	D	nontarget	n/a	n/a
47.6484375	n/a	12198	D	target	hit	835.9375
48.484375	n/a	12412	rt	n/a	hit	835.9375
49.2109375	n/a	12598	C	nontarget	n/a	n/a
50.76953125	n/a	12997	B	nontarget	n/a	n/a
52.328125	n/a	13396	A	nontarget	n/a	n/a
53.890625	n/a	13796	D	nontarget	n/a	n/a
55.44921875	n/a	14195	C	nontarget	n/a	n/a
57.0078125	n/a	14594	B	nontarget	n/a	n/a
58.5703125	n/a	14994	B	target	hit	777.3438
59.34765625	n/a	15193	rt	n/a	hit	777.3438
60.12890625	n/a	15393	A	nontarget	n/a	n/a
61.6875	n/a	15792	C	nontarget	n/a	n/a
63.25	n/a	16192	D	nontarget	n/a	n/a
64.80859375	n/a	16591	C	nontarget	n/a	n/a
66.3671875	n/a	16990	B	nontarget	n/a	n/a
67.9296875	n/a	17390	B	target	hit	773.4375
68.703125	n/a	17588	rt	n/a	hit	773.4375
69.48828125	n/a	17789	B	target	hit	722.6562
70.2109375	n/a	17974	rt	n/a	hit	722.6562
71.05078125	n/a	18189	B	target	hit	519.5312
71.5703125	n/a	18322	rt	n/a	hit	519.5312
72.609375	n/a	18588	B	target	hit	464.8438
73.07421875	n/a	18707	rt	n/a	hit	464.8438
74.16796875	n/a	18987	A	nontarget	n/a	n/a
75.7265625	n/a	19386	D	nontarget	n/a	n/a
77.2890625	n/a	19786	B	nontarget	n/a	n/a
78.84765625	n/a	20185	B	target	hit	582.0312
