onset	duration	sample	value	stimulus	response_type	response_time
20.375	n/a	5216	A	nontarget	n/a	n/a
22.015625	n/a	5636	A	nontarget	n/a	n/a
23.6015625	n/a	6042	B	nontarget	n/a	n/a
25.16796875	n/a	6443	B	nontarget	n/a	n/a
26.7421875	n/a	6846	C	nontarget	n/a	n/a
28.30078125	n/a	7245	C	nontarget	n/a	n/a
29.875	n/a	7648	B	target	hit	1226.5625
31.1015625	n/a	7962	rt	n/a	hit	1226.5625
31.4375	n/a	8048	D	nontarget	n/a	n/a
33.01953125	n/a	8453	C	target	miss	n/a
34.59375	n/a	8856	C	nontarget	false_alarm	398.4375
34.9921875	n/a	8958	rt	n/a	false_alarm	398.4375
36.16796875	n/a	9259	A	nontarget	n/a	n/a
37.7421875	n/a	9662	A	nontarget	n/a	n/a
39.3125	n/a	10064	C	target	hit	835.9375
40.1484375	n/a	10278	rt	n/a	hit	835.9375
40.875	n/a	10464	C	nontarget	n/a	n/a
42.43359375	n/a	10863	A	target	hit	1367.1875
43.80078125	n/a	11213	rt	n/a	hit	1367.1875
43.9921875	n/a	11262	C	target	hit	968.75
44.9609375	n/a	11510	rt	n/a	hit	968.75
45.5546875	n/a	11662	A	nontarget	n/a	n/a
47.11328125	n/a	12061	A	target	miss	n/a
48.67578125	n/a	12461	B	nontarget	miss	n/a
50.234375	n/a	12860	D	nontarget	n/a	n/a
51.79296875	n/a	13259	C	nontarget	n/a	n/a
53.35546875	n/a	13659	A	nontarget	n/a	n/a
54.9140625	n/a	14058	A	nontarget	n/a	n/a
56.47265625	n/a	14457	A	nontarget	false_alarm	1105.4688
57.578125	n/a	14740	rt	n/a	false_alarm	1105.4688
58.03515625	n/a	14857	B	nontarget	n/a	n/a
59.59375	n/a	15256	B	nontarget	n/a	n/a
61.15234375	n/a	15655	D	nontarget	n/a	n/a
62.7265625	n/a	16058	D	nontarget	n/a	n/a
64.28515625	n/a	16457	A	nontarget	n/a	n/a
65.84765625	n/a	16857	D	target	hit	769.5312
66.6171875	n/a	17054	rt	n/a	hit	769.5312
67.40625	n/a	17256	A	nontarget	n/a	n/a
68.96875	n/a	17656	A	target	hit	1515.625
70.484375	n/a	18044	rt	n/a	hit	1515.625
70.5625	n/a	18064	A	nontarget	false_alarm	66.4062
70.62890625	n/a	18081	rt	n/a	false_alarm	66.4062
72.12890625	n/a	18465	D	nontarget	false_alarm	917.9688
73.046875	n/a	18700	rt	n/a	false_alarm	917.9688
73.69921875	n/a	18867	A	target	hit	808.5938
74.5078125	n/a	19074	rt	n/a	hit	808.5938
75.2734375	n/a	19270	B	nontarget	n/a	n/a
76.84765625	n/a	19673	C	nontarget	n/a	n/a
78.40625	n/a	20072	B	nontarget	n/a	n/a
79.96484375	n/a	20471	C	nontarget	n/a	n/a
81.52734375	n/a	20871	D	nontarget	n/a	n/a
83.0859375	n/a	21270	B	target	hit	1207.0312
84.29296875	n/a	21579	rt	n/a	hit	1207.0312
84.64453125	n/a	21669	D	nontarget	n/a	n/a
86.20703125	n/a	22069	A	nontarget	n/a	n/a
87.765625	n/a	22468	C	nontarget	n/a	n/a
89.328125	n/a	22868	D	target	miss	n/a
90.88671875	n/a	23267	B	nontarget	miss	n/a
92.4453125	n/a	23666	A	nontarget	n/a	n/a
94.0078125	n/a	24066	C	nontarget	n/a	n/a
95.56640625	n/a	24465	D	nontarget	n/a	n/a
97.125	n/a	24864	B	nontarget	n/a	n/a
98.6875	n/a	25264	C	target	hit	839.8438
99.52734375	n/a	25479	rt	n/a	hit	839.8438
100.2460938	n/a	25663	B	nontarget	false_alarm	886.7188
101.1328125	n/a	25890	rt	n/a	false_alarm	886.7188
101.8046875	n/a	26062	C	nontarget	n/a	n/a
103.3671875	n/a	26462	C	target	miss	n/a
104.9257812	n/a	26861	B	target	hit	750
105.6757812	n/a	27053	rt	n/a	hit	750
106.4882812	n/a	27261	D	nontarget	n/a	n/a
108.046875	n/a	27660	A	nontarget	n/a	n/a
109.6054688	n/a	28059	A	nontarget	n/a	n/a
111.1640625	n/a	28458	A	nontarget	n/a	n/a
112.7265625	n/a	28858	D	nontarget	n/a	n/a
114.2851562	n/a	29257	D	nontarget	n/a	n/a
115.8476562	n/a	29657	A	target	hit	640.625
116.4882812	n/a	29821	rt	n/a	hit	640.625
117.40625	n/a	30056	B	nontarget	n/a	n/a
118.9648438	n/a	30455	C	nontarget	n/a	n/a
120.5273438	n/a	30855	B	nontarget	n/a	n/a
122.0859375	n/a	31254	C	nontarget	n/a	n/a
123.6445312	n/a	31653	B	nontarget	false_alarm	796.875
124.4414062	n/a	31857	rt	n/a	false_alarm	796.875
125.2070312	n/a	32053	D	nontarget	n/a	n/a
126.765625	n/a	32452	D	nontarget	n/a	n/a
128.3242188	n/a	32851	A	nontarget	n/a	n/a
129.8867188	n/a	33251	A	nontarget	n/a	n/a
131.4453125	n/a	33650	C	nontarget	n/a	n/a
133.0039062	n/a	34049	C	nontarget	n/a	n/a
134.5664062	n/a	34449	C	nontarget	n/a	n/a
136.125	n/a	34848	D	nontarget	false_alarm	74.2188
136.1992188	n/a	34867	rt	n/a	false_alarm	74.2188
137.6992188	n/a	35251	C	target	miss	n/a
139.2734375	n/a	35654	A	nontarget	false_alarm	246.0938
139.5195312	n/a	35717	rt	n/a	false_alarm	246.0938
140.84375	n/a	36056	A	nontarget	n/a	n/a
142.4179688	n/a	36459	D	nontarget	n/a	n/a
143.9921875	n/a	36862	D	nontarget	n/a	n/a
145.5507812	n/a	37261	A	target	hit	570.3125
146.1210938	n/a	37407	rt	n/a	hit	570.3125
147.1132812	n/a	37661	D	target	hit	1464.8438
148.578125	n/a	38036	rt	n/a	hit	1464.8438
148.671875	n/a	38060	A	nontarget	false_alarm	62.5
148.734375	n/a	38076	rt	n/a	false_alarm	62.5
