onset	duration	sample	value	response_type	congruence	response_time	response_out_of_range	largeletter	smallletter
12.69140625	n/a	3249	largeHSmallH	correct	congruent	0.60547	no	H	H
13.296875	n/a	3404	responseLargeH	correct	n/a	0.60547	no	n/a	n/a
14.359375	n/a	3676	largeTSmallH	correct	incongruent	0.64062	no	T	H
15	n/a	3840	responseLargeT	correct	n/a	0.64062	no	n/a	n/a
16.06640625	n/a	4113	largeTSmallH	correct	incongruent	0.49219	no	T	H
16.55859375	n/a	4239	responseLargeT	correct	n/a	0.49219	no	n/a	n/a
17.625	n/a	4512	largeHSmallH	correct	congruent	0.57422	no	H	H
18.19921875	n/a	4659	responseLargeH	correct	n/a	0.57422	no	n/a	n/a
19.27734375	n/a	4935	largeHSmallH	correct	congruent	0.53516	no	H	H
19.8125	n/a	5072	responseLargeH	correct	n/a	0.53516	no	n/a	n/a
20.87890625	n/a	5345	largeHSmallH	correct	congruent	0.45312	no	H	H
21.33203125	n/a	5461	responseLargeH	correct	n/a	0.45312	no	n/a	n/a
22.40625	n/a	5736	largeTSmallT	correct	congruent	0.35547	no	T	T
22.76171875	n/a	5827	responseLargeT	correct	n/a	0.35547	no	n/a	n/a
23.83984375	n/a	6103	largeTSmallT	error	congruent	0.31641	no	T	T
24.15625	n/a	6184	responseLargeH	error	n/a	0.31641	no	n/a	n/a
25.2265625	n/a	6458	largeTSmallH	correct	incongruent	0.65625	no	T	H
25.8828125	n/a	6626	responseLargeT	correct	n/a	0.65625	no	n/a	n/a
26.9609375	n/a	6902	largeHSmallT	error	incongruent	0.34766	no	H	T
27.30859375	n/a	6991	responseLargeT	error	n/a	0.34766	no	n/a	n/a
28.37109375	n/a	7263	largeHSmallT	correct	incongruent	0.39453	no	H	T
28.765625	n/a	7364	responseLargeH	correct	n/a	0.39453	no	n/a	n/a
29.83984375	n/a	7639	largeHSmallH	correct	congruent	0.48438	no	H	H
30.32421875	n/a	7763	responseLargeH	correct	n/a	0.48438	no	n/a	n/a
31.3984375	n/a	8038	largeTSmallT	error	congruent	0.33594	no	T	T
31.734375	n/a	8124	responseLargeH	error	n/a	0.33594	no	n/a	n/a
32.80078125	n/a	8397	largeTSmallT	correct	congruent	0.39062	no	T	T
33.19140625	n/a	8497	responseLargeT	correct	n/a	0.39062	no	n/a	n/a
34.265625	n/a	8772	largeTSmallT	correct	congruent	0.35156	no	T	T
34.6171875	n/a	8862	responseLargeT	correct	n/a	0.35156	no	n/a	n/a
35.69140625	n/a	9137	largeHSmallT	correct	incongruent	0.57031	no	H	T
36.26171875	n/a	9283	responseLargeH	correct	n/a	0.57031	no	n/a	n/a
37.34765625	n/a	9561	largeHSmallH	correct	congruent	0.49609	no	H	H
37.84375	n/a	9688	responseLargeH	correct	n/a	0.49609	no	n/a	n/a
38.91796875	n/a	9963	largeTSmallH	correct	incongruent	0.60156	no	T	H
39.51953125	n/a	10117	responseLargeT	correct	n/a	0.60156	no	n/a	n/a
40.5859375	n/a	10390	largeTSmallT	correct	congruent	0.57031	no	T	T
41.15625	n/a	10536	responseLargeT	correct	n/a	0.57031	no	n/a	n/a
42.30078125	n/a	10829	largeTSmallT	correct	congruent	0.64453	no	T	T
42.9453125	n/a	10994	responseLargeT	correct	n/a	0.64453	no	n/a	n/a
44.02734375	n/a	11271	largeHSmallT	correct	incongruent	0.49609	no	H	T
44.5234375	n/a	11398	responseLargeH	correct	n/a	0.49609	no	n/a	n/a
45.59765625	n/a	11673	largeHSmallH	correct	congruent	0.46094	no	H	H
46.05859375	n/a	11791	responseLargeH	correct	n/a	0.46094	no	n/a	n/a
47.1171875	n/a	12062	largeTSmallT	correct	congruent	0.70312	no	T	T
47.8203125	n/a	12242	responseLargeT	correct	n/a	0.70312	no	n/a	n/a
48.890625	n/a	12516	largeHSmallT	error	incongruent	0.41016	no	H	T
49.30078125	n/a	12621	responseLargeT	error	n/a	0.41016	no	n/a	n/a
50.37109375	n/a	12895	largeHSmallH	correct	congruent	0.92969	no	H	H
51.30078125	n/a	13133	responseLargeH	correct	n/a	0.92969	no	n/a	n/a
52.38671875	n/a	13411	largeHSmallT	correct	incongruent	0.83203	no	H	T
53.21875	n/a	13624	responseLargeH	correct	n/a	0.83203	no	n/a	n/a
54.27734375	n/a	13895	largeTSmallT	correct	congruent	0.63281	no	T	T
