onset	duration	sample	value	response_type	congruence	response_time	response_out_of_range	largeletter	smallletter
22.89453125	n/a	5861	largeTSmallT	correct	congruent	3.4727	yes	T	T
26.3671875	n/a	6750	responseLargeT	correct	n/a	3.4727	yes	n/a	n/a
27.4296875	n/a	7022	largeTSmallH	correct	incongruent	1.6211	yes	T	H
29.05078125	n/a	7437	responseLargeT	correct	n/a	1.6211	yes	n/a	n/a
30.109375	n/a	7708	largeTSmallT	correct	congruent	0.51172	no	T	T
30.62109375	n/a	7839	responseLargeT	correct	n/a	0.51172	no	n/a	n/a
31.6953125	n/a	8114	largeTSmallT	correct	congruent	0.57422	no	T	T
32.26953125	n/a	8261	responseLargeT	correct	n/a	0.57422	no	n/a	n/a
33.34765625	n/a	8537	largeTSmallT	correct	congruent	0.41797	no	T	T
33.765625	n/a	8644	responseLargeT	correct	n/a	0.41797	no	n/a	n/a
34.83984375	n/a	8919	largeTSmallT	correct	congruent	0.64844	no	T	T
35.48828125	n/a	9085	responseLargeT	correct	n/a	0.64844	no	n/a	n/a
36.5625	n/a	9360	largeTSmallT	correct	congruent	0.55078	no	T	T
37.11328125	n/a	9501	responseLargeT	correct	n/a	0.55078	no	n/a	n/a
38.17578125	n/a	9773	largeHSmallH	correct	congruent	0.73438	no	H	H
38.91015625	n/a	9961	responseLargeH	correct	n/a	0.73438	no	n/a	n/a
39.98828125	n/a	10237	largeHSmallH	correct	congruent	0.58594	no	H	H
40.57421875	n/a	10387	responseLargeH	correct	n/a	0.58594	no	n/a	n/a
41.640625	n/a	10660	largeTSmallT	correct	congruent	0.70312	no	T	T
42.34375	n/a	10840	responseLargeT	correct	n/a	0.70312	no	n/a	n/a
43.4296875	n/a	11118	largeHSmallH	correct	congruent	0.65234	no	H	H
44.08203125	n/a	11285	responseLargeH	correct	n/a	0.65234	no	n/a	n/a
45.1484375	n/a	11558	largeTSmallH	error	incongruent	0.55859	no	T	H
45.70703125	n/a	11701	responseLargeH	error	n/a	0.55859	no	n/a	n/a
46.7734375	n/a	11974	largeTSmallT	correct	congruent	0.55078	no	T	T
47.32421875	n/a	12115	responseLargeT	correct	n/a	0.55078	no	n/a	n/a
48.40234375	n/a	12391	largeTSmallT	correct	congruent	0.64844	no	T	T
49.05078125	n/a	12557	responseLargeT	correct	n/a	0.64844	no	n/a	n/a
50.12109375	n/a	12831	largeTSmallT	correct	congruent	0.50781	no	T	T
50.62890625	n/a	12961	responseLargeT	correct	n/a	0.50781	no	n/a	n/a
51.70703125	n/a	13237	largeHSmallT	error	incongruent	0.625	no	H	T
52.33203125	n/a	13397	responseLargeT	error	n/a	0.625	no	n/a	n/a
53.40234375	n/a	13671	largeHSmallH	correct	congruent	3.0977	yes	H	H
56.5	n/a	14464	responseLargeH	correct	n/a	3.0977	yes	n/a	n/a
57.57421875	n/a	14739	largeTSmallH	correct	incongruent	1.1602	no	T	H
58.734375	n/a	15036	responseLargeT	correct	n/a	1.1602	no	n/a	n/a
59.80078125	n/a	15309	largeTSmallT	correct	congruent	1.1797	no	T	T
60.98046875	n/a	15611	responseLargeT	correct	n/a	1.1797	no	n/a	n/a
