onset	duration	sample	value	stimulus	response_type	response_time
14.328125	n/a	3668	D	nontarget	n/a	n/a
15.9140625	n/a	4074	B	nontarget	n/a	n/a
17.48828125	n/a	4477	A	nontarget	n/a	n/a
19.0625	n/a	4880	D	target	hit	593.75
19.65625	n/a	5032	rt	n/a	hit	593.75
20.63671875	n/a	5283	D	nontarget	n/a	n/a
22.20703125	n/a	5685	B	nontarget	n/a	n/a
23.78125	n/a	6088	D	target	late_hit	1707.0312
25.35546875	n/a	6491	B	nontarget	late_hit	n/a
25.48828125	n/a	6525	rt	n/a	n/a	132.8125
26.9296875	n/a	6894	D	nontarget	n/a	n/a
28.515625	n/a	7300	B	nontarget	n/a	n/a
30.08984375	n/a	7703	B	target	miss	n/a
31.6640625	n/a	8106	C	nontarget	miss	n/a
33.234375	n/a	8508	C	nontarget	n/a	n/a
34.80859375	n/a	8911	D	nontarget	n/a	n/a
36.3828125	n/a	9314	C	target	hit	785.1562
37.16796875	n/a	9515	rt	n/a	hit	785.1562
37.953125	n/a	9716	B	nontarget	n/a	n/a
39.53125	n/a	10120	C	nontarget	n/a	n/a
41.10546875	n/a	10523	C	target	miss	n/a
42.67578125	n/a	10925	D	nontarget	miss	n/a
44.25	n/a	11328	B	nontarget	n/a	n/a
45.82421875	n/a	11731	A	nontarget	n/a	n/a
47.40625	n/a	12136	A	nontarget	n/a	n/a
48.984375	n/a	12540	D	nontarget	n/a	n/a
50.5546875	n/a	12942	D	nontarget	n/a	n/a
52.12890625	n/a	13345	D	nontarget	n/a	n/a
53.703125	n/a	13748	B	nontarget	n/a	n/a
55.2734375	n/a	14150	C	nontarget	n/a	n/a
56.86328125	n/a	14557	C	nontarget	n/a	n/a
58.43359375	n/a	14959	C	nontarget	n/a	n/a
60.01171875	n/a	15363	C	target	miss	n/a
61.58203125	n/a	15765	A	nontarget	miss	n/a
63.15234375	n/a	16167	C	target	miss	n/a
64.73046875	n/a	16571	C	target	miss	n/a
66.3046875	n/a	16974	B	nontarget	miss	n/a
67.88671875	n/a	17379	A	nontarget	n/a	n/a
69.46484375	n/a	17783	A	nontarget	n/a	n/a
71.03515625	n/a	18185	C	nontarget	n/a	n/a
72.609375	n/a	18588	D	nontarget	n/a	n/a
74.18359375	n/a	18991	C	nontarget	n/a	n/a
75.765625	n/a	19396	C	target	miss	n/a
77.34375	n/a	19800	C	nontarget	miss	n/a
78.9140625	n/a	20202	D	nontarget	n/a	n/a
80.48828125	n/a	20605	D	nontarget	n/a	n/a
82.0625	n/a	21008	D	nontarget	n/a	n/a
83.6328125	n/a	21410	D	target	hit	785.1562
84.41796875	n/a	21611	rt	n/a	hit	785.1562
85.1953125	n/a	21810	C	nontarget	n/a	n/a
86.78125	n/a	22216	C	nontarget	n/a	n/a
88.35546875	n/a	22619	C	nontarget	n/a	n/a
89.92578125	n/a	23021	B	nontarget	n/a	n/a
91.50390625	n/a	23425	B	nontarget	n/a	n/a
93.07421875	n/a	23827	C	target	miss	n/a
94.66015625	n/a	24233	C	nontarget	miss	n/a
96.234375	n/a	24636	D	nontarget	n/a	n/a
97.8046875	n/a	25038	B	nontarget	n/a	n/a
99.3828125	n/a	25442	B	nontarget	n/a	n/a
100.953125	n/a	25844	A	nontarget	n/a	n/a
102.5273438	n/a	26247	A	nontarget	n/a	n/a
104.1015625	n/a	26650	B	target	late_hit	1664.0625
105.6875	n/a	27056	C	nontarget	late_hit	n/a
105.765625	n/a	27076	rt	n/a	n/a	78.125
107.265625	n/a	27460	B	nontarget	n/a	n/a
108.8320312	n/a	27861	A	nontarget	n/a	n/a
110.40625	n/a	28264	A	nontarget	n/a	n/a
111.9804688	n/a	28667	C	nontarget	n/a	n/a
113.5546875	n/a	29070	A	target	hit	1148.4375
114.703125	n/a	29364	rt	n/a	hit	1148.4375
115.1132812	n/a	29469	D	nontarget	n/a	n/a
116.6875	n/a	29872	C	target	miss	n/a
118.2617188	n/a	30275	C	nontarget	miss	n/a
119.8320312	n/a	30677	A	nontarget	n/a	n/a
121.40625	n/a	31080	A	nontarget	n/a	n/a
122.9804688	n/a	31483	D	nontarget	n/a	n/a
124.5507812	n/a	31885	D	nontarget	n/a	n/a
126.140625	n/a	32292	D	nontarget	n/a	n/a
127.7109375	n/a	32694	B	nontarget	n/a	n/a
129.2890625	n/a	33098	B	nontarget	n/a	n/a
130.8632812	n/a	33501	D	target	hit	1117.1875
131.9804688	n/a	33787	rt	n/a	hit	1117.1875
132.4335938	n/a	33903	D	nontarget	n/a	n/a
134.0078125	n/a	34306	D	nontarget	n/a	n/a
135.59375	n/a	34712	D	target	miss	n/a
137.1679688	n/a	35115	D	target	hit	679.6875
137.8476562	n/a	35289	rt	n/a	hit	679.6875
138.7421875	n/a	35518	C	nontarget	n/a	n/a
140.3125	n/a	35920	C	nontarget	n/a	n/a
141.8867188	n/a	36323	B	nontarget	n/a	n/a
143.4609375	n/a	36726	C	target	hit	765.625
144.2265625	n/a	36922	rt	n/a	hit	765.625
145.046875	n/a	37132	C	target	hit	437.5
145.484375	n/a	37244	rt	n/a	hit	437.5
146.6210938	n/a	37535	C	nontarget	n/a	n/a
148.1914062	n/a	37937	C	target	miss	n/a
149.765625	n/a	38340	C	target	hit	742.1875
150.5078125	n/a	38530	rt	n/a	hit	742.1875
151.3398438	n/a	38743	C	target	miss	n/a
152.9101562	n/a	39145	B	nontarget	miss	n/a
154.4726562	n/a	39545	C	target	miss	n/a
156.0351562	n/a	39945	C	target	hit	660.1562
156.6953125	n/a	40114	rt	n/a	hit	660.1562
157.59375	n/a	40344	D	nontarget	n/a	n/a
159.1523438	n/a	40743	A	nontarget	n/a	n/a
160.7382812	n/a	41149	D	nontarget	n/a	n/a
162.3125	n/a	41552	D	target	miss	n/a
163.8867188	n/a	41955	B	nontarget	miss	n/a
165.4609375	n/a	42358	B	nontarget	n/a	n/a
167.0429688	n/a	42763	C	nontarget	n/a	n/a
168.6210938	n/a	43167	D	nontarget	n/a	n/a
170.1914062	n/a	43569	B	target	miss	n/a
171.765625	n/a	43972	D	nontarget	miss	n/a
