onset	duration	sample	value	stimulus	response_type	response_time
24.8984375	n/a	6374	A	nontarget	n/a	n/a
26.54296875	n/a	6795	C	nontarget	n/a	n/a
28.12890625	n/a	7201	D	nontarget	n/a	n/a
29.6953125	n/a	7602	C	nontarget	n/a	n/a
31.26953125	n/a	8005	C	target	hit	488.2812
31.7578125	n/a	8130	rt	n/a	hit	488.2812
32.83203125	n/a	8405	A	nontarget	n/a	n/a
34.40234375	n/a	8807	D	nontarget	n/a	n/a
35.9609375	n/a	9206	C	nontarget	n/a	n/a
37.51953125	n/a	9605	C	target	hit	382.8125
37.90234375	n/a	9703	rt	n/a	hit	382.8125
39.08203125	n/a	10005	D	nontarget	n/a	n/a
40.640625	n/a	10404	B	nontarget	n/a	n/a
42.203125	n/a	10804	D	nontarget	n/a	n/a
43.76171875	n/a	11203	B	nontarget	false_alarm	457.0312
44.21875	n/a	11320	rt	n/a	false_alarm	457.0312
45.3203125	n/a	11602	C	nontarget	n/a	n/a
46.8828125	n/a	12002	D	nontarget	n/a	n/a
48.44140625	n/a	12401	C	nontarget	n/a	n/a
50	n/a	12800	A	nontarget	n/a	n/a
51.5625	n/a	13200	A	target	hit	394.5312
51.95703125	n/a	13301	rt	n/a	hit	394.5312
53.12109375	n/a	13599	A	target	hit	425.7812
53.546875	n/a	13708	rt	n/a	hit	425.7812
54.68359375	n/a	13999	B	nontarget	n/a	n/a
56.26953125	n/a	14405	B	target	hit	382.8125
56.65234375	n/a	14503	rt	n/a	hit	382.8125
57.83984375	n/a	14807	A	nontarget	n/a	n/a
59.4140625	n/a	15210	B	nontarget	n/a	n/a
60.98828125	n/a	15613	C	nontarget	n/a	n/a
62.5625	n/a	16016	A	nontarget	n/a	n/a
64.12109375	n/a	16415	A	target	hit	417.9688
64.5390625	n/a	16522	rt	n/a	hit	417.9688
65.6796875	n/a	16814	B	nontarget	n/a	n/a
67.25390625	n/a	17217	D	nontarget	n/a	n/a
